course_code,course_title,section,grades_count,avg_gpa,std_dev,median_gpa,pct_A,pct_B,pct_C,pct_D,pct_F,pct_P,pct_I,pct_AU,pct_W_AW,letters_count,term,faculty
BBA 208,Data Analytics forBusiness,1L,7,3.57,0.37,3.67,44.4,33.3,0.0,0.0,0.0,0.0,0.0,0.0,22.2,9,FA2025,AssemSeidalina
BBA 208,Data Analytics forBusiness,1L,7,3.57,0.37,3.67,44.4,33.3,0.0,0.0,0.0,0.0,0.0,0.0,22.2,9,FA2025,MiratAkshalov
BBA 208,Data Analytics forBusiness,1L,7,3.57,0.37,3.67,44.4,33.3,0.0,0.0,0.0,0.0,0.0,0.0,22.2,9,FA2025,Jaehyeon Kim
BBA 210,Fundamentals ofMarketing,1L,7,3.67,0.34,3.67,50.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,12.5,8,FA2025,Mirat Akshalov
BBA 210,Fundamentals ofMarketing,1L,7,3.67,0.34,3.67,50.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,12.5,8,FA2025,Mustafa Karatas
BBA 230,Entrepreneurship,1L,7,3.71,0.3,3.67,62.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,8,FA2025,Mirat Akshalov
BBA 230,Entrepreneurship,1L,7,3.71,0.3,3.67,62.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,8,FA2025,Jiyang Dong
BUS 101,Core Course in Business,1L,539,3.53,0.47,3.67,62.8,33.3,2.2,0.0,0.4,0.0,0.0,0.0,1.3,546,FA2025,Mirat Akshalov
BUS 101,Core Course in Business,1L,539,3.53,0.47,3.67,62.8,33.3,2.2,0.0,0.4,0.0,0.0,0.0,1.3,546,FA2025,SaniyaBarbolova
BUS 101,Core Course in Business,1L,539,3.53,0.47,3.67,62.8,33.3,2.2,0.0,0.4,0.0,0.0,0.0,1.3,546,FA2025,ZharaskhanTemirkhanov
BUS 101,Core Course in Business,1L,539,3.53,0.47,3.67,62.8,33.3,2.2,0.0,0.4,0.0,0.0,0.0,1.3,546,FA2025,MoldirKaiynbayeva
BUS 101,Core Course in Business,1L,539,3.53,0.47,3.67,62.8,33.3,2.2,0.0,0.4,0.0,0.0,0.0,1.3,546,FA2025,Raola Yerbolat
CHME 200,Basic Principles andCalculations in ChemicalEngineering,1L,30,3.09,0.95,3.33,43.3,40.0,6.7,6.7,3.3,0.0,0.0,0.0,0.0,30,FA2025,Cevat Erisken
CHME 201,Chemical EngineeringThermodynamics,1L,30,2.8,0.81,3.0,16.7,66.7,10.0,3.3,3.3,0.0,0.0,0.0,0.0,30,FA2025,Nurxat Nuraje
CHME 222,Inorganic and AnalyticalChemistry,1L,31,3.34,0.59,3.67,51.6,38.7,9.7,0.0,0.0,0.0,0.0,0.0,0.0,31,FA2025,AlmagulMentbayeva
CHME 222,Inorganic and AnalyticalChemistry,1L,31,3.34,0.59,3.67,51.6,38.7,9.7,0.0,0.0,0.0,0.0,0.0,0.0,31,FA2025,LyazzatMukhangaliyeva
CHME 300,Heat and Mass Transfer,1L,23,2.84,0.75,3.0,21.7,47.8,21.7,8.7,0.0,0.0,0.0,0.0,0.0,23,FA2025,Sergey Spotar
CHME 301,Applied Mathematics forProcess Design,1L,29,2.97,1.0,3.33,26.7,53.3,6.7,3.3,6.7,0.0,0.0,0.0,3.3,30,FA2025,Boris Golman
CHME 301,Applied Mathematics forProcess Design,1L,29,2.97,1.0,3.33,26.7,53.3,6.7,3.3,6.7,0.0,0.0,0.0,3.3,30,FA2025,SabinaKhamzina
CHME 302,Instrumental Methods ofAnalysis for Engineers,1L,22,2.79,0.68,3.0,8.3,58.3,16.7,8.3,0.0,0.0,0.0,0.0,8.3,24,FA2025,Chang-Keun Lim
CHME 351,Environment andDevelopment,1L,18,3.43,0.47,3.67,55.0,30.0,5.0,0.0,0.0,0.0,0.0,0.0,10.0,20,FA2025,StavrosPoulopoulos
CHME 353,ElectrochemicalEngineering,1L,20,3.62,0.49,3.67,75.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,FA2025,AzharMukasheva
CHME 354,Introduction toMetallurgy,1L,32,3.8,0.32,4.0,81.2,18.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,FA2025,Aishuak Konarov
CHME 400,Process Design andSimulation,1L,48,3.04,0.46,3.0,12.5,79.2,6.2,2.1,0.0,0.0,0.0,0.0,0.0,48,FA2025,Dhawal Shah
CHME 401,Chemical EngineeringLab II,1Lb,14,3.84,0.17,3.84,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,FA2025,AzharMukasheva
CHME 401,Chemical EngineeringLab II,2Lb,13,3.67,0.0,3.67,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,FA2025,AzharMukasheva
CHME 401,Chemical EngineeringLab II,3Lb,14,3.98,0.09,4.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,FA2025,AzharMukasheva
CHME 401,Chemical EngineeringLab II,4Lb,7,3.67,0.33,3.67,85.7,14.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,FA2025,AzharMukasheva
CHME 453,Multiphase Systems,1L,32,3.19,0.62,3.33,25.0,65.6,6.2,3.1,0.0,0.0,0.0,0.0,0.0,32,FA2025,Sergey Spotar
CEE 200,Structural Mechanics I,1L,64,2.35,0.94,2.33,14.1,32.8,35.9,12.5,4.7,0.0,0.0,0.0,0.0,64,FA2025,ElnaraKussinova
CEE 200,Structural Mechanics I,2L,75,2.51,0.93,2.67,11.7,42.9,32.5,5.2,5.2,0.0,0.0,0.0,2.6,77,FA2025,Asma Perveen
CEE 201,Environmental Chemistry,1L,66,2.83,0.76,3.0,19.7,50.0,27.3,1.5,1.5,0.0,0.0,0.0,0.0,66,FA2025,Mert Guney
CEE 204,Civil Engineering CADand Surveying,1L,65,2.99,0.57,3.0,16.7,63.6,16.7,1.5,0.0,0.0,1.5,0.0,0.0,66,FA2025,BakhytAubakirova
