course_code,course_title,section,grades_count,avg_gpa,std_dev,median_gpa,pct_A,pct_B,pct_C,pct_D,pct_F,pct_P,pct_I,pct_AU,pct_W_AW,letters_count,term,faculty
ACCT 201,Introduction to Accounting,1L,51,3.43,0.66,3.67,51.9,42.3,1.9,0.0,1.9,0.0,0.0,0.0,,52,SP2026,Mirat Akshalov
ACCT 201,Introduction to Accounting,1L,51,3.43,0.66,3.67,51.9,42.3,1.9,0.0,1.9,0.0,0.0,0.0,,52,SP2026,ChristianSofilkanitsch
ACCT 201,Introduction to Accounting,2L,30,3.29,0.54,3.16,33.3,66.7,0.0,0.0,0.0,0.0,0.0,0.0,,30,SP2026,Mirat Akshalov
ACCT 201,Introduction to Accounting,2L,30,3.29,0.54,3.16,33.3,66.7,0.0,0.0,0.0,0.0,0.0,0.0,,30,SP2026,ChristianSofilkanitsch
BBA 203,Responsible Leadership(Ethics),1L,7,3.67,0.27,3.67,71.4,28.6,0.0,0.0,0.0,0.0,0.0,0.0,,7,SP2026,Mirat Akshalov
BBA 203,Responsible Leadership(Ethics),1L,7,3.67,0.27,3.67,71.4,28.6,0.0,0.0,0.0,0.0,0.0,0.0,,7,SP2026,David Reinhard
BBA 209,"Environmental, Social andGovernance Factors (ESG)for Business",1L,9,3.07,0.57,3.33,33.3,44.4,22.2,0.0,0.0,0.0,0.0,0.0,,9,SP2026,Mirat Akshalov
BBA 209,"Environmental, Social andGovernance Factors (ESG)for Business",1L,9,3.07,0.57,3.33,33.3,44.4,22.2,0.0,0.0,0.0,0.0,0.0,,9,SP2026,RozaNurgozhayeva
BBA 260,Operations Management,1L,7,3.52,0.33,3.67,57.1,42.9,0.0,0.0,0.0,0.0,0.0,0.0,,7,SP2026,Mirat Akshalov
BBA 260,Operations Management,1L,7,3.52,0.33,3.67,57.1,42.9,0.0,0.0,0.0,0.0,0.0,0.0,,7,SP2026,Narendra Singh
BUS 101,Core Course in Business,1L,569,3.7,0.43,3.67,80.0,16.5,1.7,0.3,0.2,0.0,0.0,0.0,,576,SP2026,Mirat Akshalov
BUS 101,Core Course in Business,1L,569,3.7,0.43,3.67,80.0,16.5,1.7,0.3,0.2,0.0,0.0,0.0,,576,SP2026,SaniyaBarbolova
BUS 101,Core Course in Business,1L,569,3.7,0.43,3.67,80.0,16.5,1.7,0.3,0.2,0.0,0.0,0.0,,576,SP2026,ZharaskhanTemirkhanov
BUS 101,Core Course in Business,1L,569,3.7,0.43,3.67,80.0,16.5,1.7,0.3,0.2,0.0,0.0,0.0,,576,SP2026,MoldirKaiynbayeva
BUS 101,Core Course in Business,1L,569,3.7,0.43,3.67,80.0,16.5,1.7,0.3,0.2,0.0,0.0,0.0,,576,SP2026,Raola Yerbolat
BUS 420,Business Law,1L,55,2.99,0.66,3.0,18.2,69.1,10.9,0.0,1.8,0.0,0.0,0.0,,55,SP2026,Mirat Akshalov
BUS 420,Business Law,1L,55,2.99,0.66,3.0,18.2,69.1,10.9,0.0,1.8,0.0,0.0,0.0,,55,SP2026,RozaNurgozhayeva
FIN 201,Principles of Finance,1L,30,3.04,0.61,3.0,23.3,53.3,23.3,0.0,0.0,0.0,0.0,0.0,,30,SP2026,Mirat Akshalov
FIN 201,Principles of Finance,1L,30,3.04,0.61,3.0,23.3,53.3,23.3,0.0,0.0,0.0,0.0,0.0,,30,SP2026,Tom Vinaimont
FIN 201,Principles of Finance,2L,49,3.15,0.83,3.33,43.1,37.3,11.8,2.0,2.0,0.0,0.0,0.0,,51,SP2026,Mirat Akshalov
FIN 201,Principles of Finance,2L,49,3.15,0.83,3.33,43.1,37.3,11.8,2.0,2.0,0.0,0.0,0.0,,51,SP2026,Tom Vinaimont
OM 201,Operations Management,1L,47,3.44,0.62,3.67,61.7,27.7,10.6,0.0,0.0,0.0,0.0,0.0,,47,SP2026,Mirat Akshalov
OM 201,Operations Management,1L,47,3.44,0.62,3.67,61.7,27.7,10.6,0.0,0.0,0.0,0.0,0.0,,47,SP2026,Narendra Singh
CHME 202,Fluid Mechanics,1L,29,3.2,0.99,3.67,55.2,27.6,10.3,3.4,3.4,0.0,0.0,0.0,,29,SP2026,Yanwei Wang
CHME 203,Organic and PolymerChemistry,1L,31,3.27,0.62,3.33,45.2,45.2,6.5,3.2,0.0,0.0,0.0,0.0,,31,SP2026,AzharMukasheva
CHME 303,Separation Processes,1L,27,2.8,0.75,3.0,14.8,59.3,22.2,3.7,0.0,0.0,0.0,0.0,,27,SP2026,StavrosPoulopoulos
