registrar_id,course_code,pre_req,anti_req,co_req,level,school,description,department,title,credits,term
702,KAZ 303,"KAZ 202 Academic Kazakh II (4562) (C- and above) OR KLL ""[C1.1] Advanced""",KAZ 303 Academic Speaking in Kazakh (702) (C- and above) OR KAZ 304 Academic Writing in Kazakh (703) (C- and above),,UG,SSH,"This course aimed to develop academic speaking and oral skills. During this course students will have opportunities to engage into interactive activities such us in-class conversations, discussions, they will  present their materials in Kazakh.",Kazakh Language and Turkic Studies,Academic Speaking in Kazakh,6,Spring 2023
703,KAZ 304,"KAZ 202 Academic Kazakh II (4562) (C- and above) OR KLL ""[C1.1] Advanced""",KAZ 304 Academic Writing in Kazakh (703) (C- and above) OR KAZ 303 Academic Speaking in Kazakh (702) (C- and above),,UG,SSH,This course allows students to improve their academic writing in Kazakh language. The students will learn how to analyze popular scientific texts and comprehensively construct essays with academic content. ,Kazakh Language and Turkic Studies,Academic Writing in Kazakh,6,Spring 2025
7868,MATH 580,,,,GrM,SSH,"This course introduces Complex Analysis at the graduate level. Topics include (but are not limited to) Cauchy’s theorem, Runge’s approximation theorem, meromorphic functions, Paley-Wiener theorem, infinite products, Hadamard’s factorization theorem, analytic continuation, etc.",Mathematics,Advanced Complex Analysis,8,Fall 2024
8233,LING 773,,,,PhD,SSH,"This course is designed for graduate students conducting research in languages and linguistics. It attends to theoretical and practical aspects of collecting and analyzing natural human language data within two main empirical methodological domains: (i) field linguistics and language documentation, and (ii) corpus linguistics.","Languages, Literature and Linguistics",Advanced Empirical Methods in Linguistics,8,Spring 2026
7729,BIOL 606,,,,GrM,SSH,"
This research-oriented course focuses on current state of knowledge in environmental biology, as well as a wide spectrum of methodology in the laboratory, and in the field studies.
",Biological Science,Advanced Environmental Biology,6,Spring 2026
1846,FRE 312,FRE 201 Intermediate French I (667) (C- and above),,,UG,SSH,"In this French advanced expression course, students fine-tune their speaking and writing skills through intensive class discussion, oral presentations, pronunciation drills, linguistic lessons, and other activities. ","Languages, Literature and Linguistics",Advanced Expression,6,Spring 2024
8508,CHEM 524,,,,GrM,SSH,"This course offers a comprehensive introduction to membrane science, emphasizing its practical applications in separation processes like microfiltration, reverse osmosis, and gas permeation. Students will explore membrane technologies' historical development, structural design, and transport mechanisms such as Fick’s law and the solution-diffusion model. Special attention is given to polymeric membranes, including synthesis, fabrication, and performance characterization. Through lectures, case studies, and lab demonstrations, students gain the knowledge and skills for applied research in industrial and environmental membrane applications.",Chemistry,Advanced Membrane Science ,6,Spring 2026
4619,MATH 571,,,,GrM,SSH,"Advanced topics are presented on nonlinear ordinary and partial differential equations and their solutions. They are examined from the viewpoint of their critical points, phase space trajectories, Poincare maps, periodic and quasiperiodic solutions. The Poincare-Bendixson theorem, stability analysis, perturbation methods and bifurcation theory are described. Applications to Physics and Biology are introduced.

",Mathematics,Advanced Nonlinear Differential Equations,8,Spring 2025
4139,MATH 551,,,,GrM,SSH,"This course covers advanced numerical methods that are used in large scale scientific and engineering computations and simulations. The topics include Krylov subspace methods and preconditioning, conjugate gradient method and BiCGstab, iterative methods for eigenvalue computation, and advanced numerical methods for initial value problems.",Mathematics,Advanced Numerical Methods,8,Spring 2025
6087,MATH 722,MATH 701 Real Analysis (5489) (B and above),,,PhD,SSH,This course is an introduction to the theory of linear and nonlinear partial differential equations.,Mathematics,Advanced Partial Differential Equations,8,Fall 2024
4657,MATH 676,,,,GrM,SSH,"Laplace and heat equations, wave equations, fundamental solutions, maximum principles, Sobolev spaces, embedding theorems, weak solutions, energy methods, regularity of solutions,  existence and uniqueness of solutions, general linear elliptic, parabolic and hyperbolic equations, and applications.",Mathematics,Advanced Partial Differential Equations with Applications,8,Fall 2024
5684,MATH 601,,,,GrM,SSH,This course introduces techniques from the theory of functions of a real or complex variable to investigate properties of numbers.,Mathematics,Analytic Number Theory,8,Fall 2025
4617,MATH 518,,,,GrM,SSH,Computer-aided Finite Element Analysis for initial/boundary value problems in science and engineering with industrial applications; implementation techniques in Matlab/Octave.,Mathematics,Applied Finite Element Analysis,8,Fall 2023
