course_id,course_code,course_name,credits_need,grade,Option 1,Option 2,Option 3,Option 4,Option 5,Option 6,Option 7,Option 8,Option 9,Option 10,Option 11,Option 12,Option 13,Option 14,Option 15,Option 16,Option 17,Option 18,Option 19,Option 20,Option 21,Option 22,Option 23,Must have Option 1,Except 1
1.0,MATH 161,Calculus I,8,C,MATH 161,,,,,,,,,,,,,,,,,,,,,,,,
2.0,ENG 100,Introduction to Engineering,6,D,ENG 100,,,,,,,,,,,,,,,,,,,,,,,,
3.0,ENG 101,Programming for Engineers,6,C-,ENG 101,,,,,,,,,,,,,,,,,,,,,,,,
4.0,PHYS 161,Physics I for Scientists and Engineers,8,C-,PHYS 161,,,,,,,,,,,,,,,,,,,,,,,,
5.0,WCS 150,Rhetoric and Composition,6,C-,WCS 150,,,,,,,,,,,,,,,,,,,,,,,,
6.0,HST 100,History of Kazakhstan,6,D,HST 100,,,,,,,,,,,,,,,,,,,,,,,,
7.0,MATH 162,Calculus II,8,C,MATH 162,,,,,,,,,,,,,,,,,,,,,,,,
8.0,PHYS 162,Physics II for Scientists and Engineers,8,D,PHYS 162,,,,,,,,,,,,,,,,,,,,,,,,
9.0,ENG 102,Engineering Materials I,6,D,ENG 102,,,,,,,,,,,,,,,,,,,,,,,,
10.0,KAZ XXX,Kazakh Language,6,C-,KAZ XXX,KFL 102,KFL 201,KFL 202,,,,,,,,,,,,,,,,,,,,,KAZ 150
11.0,KAZ XXX,Kazakh Language,6,C-,KAZ XXX,KFL 102,KFL 201,KFL 202,,,,,,,,,,,,,,,,,,,,,KAZ 150
12.0,WCS 210,Technical and Professional Writing,6,D,WCS 210,,,,,,,,,,,,,,,,,,,,,,,,
13.0,ENG 200,Differntial Equations and Linear Algebra,6,D,ENG 200,,,,,,,,,,,,,,,,,,,,,,,,
14.0,Ethics,"PHIL 210, 211 or 212",6,D,PHIL 210,PHIL 211,PHIL 212,,,,,,,,,,,,,,,,,,,,,,
15.0,CEE 200,Structural Mechanics I,6,D,CEE 200,MAE 200,,,,,,,,,,,,,,,,,,,,,,,
16.0,CEE 201,Environmental Chemistry,6,D,CEE 201,,,,,,,,,,,,,,,,,,,,,,,,
17.0,CEE 202,Environmental Engineering,6,D,CEE 202,,,,,,,,,,,,,,,,,,,,,,,,
18.0,ENG 201,Applied Probability and Statistics,6,D,ENG 201,,,,,,,,,,,,,,,,,,,,,,,,
19.0,CEE 203,Structural Analysis,6,D,CEE 203,,,,,,,,,,,,,,,,,,,,,,,,
20.0,CEE 204,Civil Engineering CAD and Surveying,6,D,CEE 204,,,,,,,,,,,,,,,,,,,,,,,,
21.0,ENG 202,Numberical Methods in Enginering,6,D,ENG 202,,,,,,,,,,,,,,,,,,,,,,,,
22.0,CEE 300,Structural Design I - Concrete,6,D,CEE 300,,,,,,,,,,,,,,,,,,,,,,,,
23.0,CEE 301,Structural Desing - Steel,6,D,CEE 301,,,,,,,,,,,,,,,,,,,,,,,,
24.0,CEE 302,Geotechnical Engineering,6,D,CEE 302,,,,,,,,,,,,,,,,,,,,,,,,
25.0,CEE 303,Geotechnical Desing,6,D,CEE 303,,,,,,,,,,,,,,,,,,,,,,,,
26.0,CEE 304,Fluid Mechanics I,6,D,CEE 304,,,,,,,,,,,,,,,,,,,,,,,,
27.0,BUS 101,Business Course,6,D,BUS 101,,,,,,,,,,,,,,,,,,,,,,,,
28.0,ECON 120,Marginal Eoonomics,6,D,ECON 120,,,,,,,,,,,,,,,,,,,,,,,,
29.0,CEE 305,Hydraulics and Hydrology,6,D,CEE 305,,,,,,,,,,,,,,,,,,,,,,,,
30.0,CEE 306,Civil Engineering Materials,6,D,CEE 306,,,,,,,,,,,,,,,,,,,,,,,,
31.0,ENG 400,Capstone Project,6,D,ENG 400,,,,,,,,,,,,,,,,,,,,,,,,
32.0,ENG 400,Capstone Project,6,D,ENG 400,,,,,,,,,,,,,,,,,,,,,,,,
33.0,CEE 400,Transporation Engineering,6,D,CEE 400,,,,,,,,,,,,,,,,,,,,,,,,
34.0,CEE 401,Construction Technology and Management,6,D,CEE 401,,,,,,,,,,,,,,,,,,,,,,,,
35.0,CEE XXX or CEE 300,CEE elective 1 or Interdisceplinary Design Project,6,D,CEE 450,CEE 453,CEE 451,CEE 454,CEE 452,CEE 352,CEE 466,CEE 467,CEE 468,CEE 351,CEE 350,CEE 458,CEE 455,CEE 456,CEE 465,CEE 457,CEE 461,CEE 459,CEE 460,CEE 462,CEE 463,CEE 464,ENG 300,,
36.0,CEE XXX,CEE elective 2,6,D,CEE 450,CEE 453,CEE 451,CEE 454,CEE 452,CEE 352,CEE 466,CEE 467,CEE 468,CEE 351,CEE 350,CEE 458,CEE 455,CEE 456,CEE 465,CEE 457,CEE 461,CEE 459,CEE 460,CEE 462,CEE 463,CEE 464,,,
37.0,CEE XXX,CEE elective 3,6,D,CEE 450,CEE 453,CEE 451,CEE 454,CEE 452,CEE 352,CEE 466,CEE 467,CEE 468,CEE 351,CEE 350,CEE 458,CEE 455,CEE 456,CEE 465,CEE 457,CEE 461,CEE 459,CEE 460,CEE 462,CEE 463,CEE 464,,,
38.0,CEE XXX,CEE elective 4,6,D,CEE 450,CEE 453,CEE 451,CEE 454,CEE 452,CEE 352,CEE 466,CEE 467,CEE 468,CEE 351,CEE 350,CEE 458,CEE 455,CEE 456,CEE 465,CEE 457,CEE 461,CEE 459,CEE 460,CEE 462,CEE 463,CEE 464,,,
39.0,CEE XXX,CEE elective 5,6,D,CEE 450,CEE 453,CEE 451,CEE 454,CEE 452,CEE 352,CEE 466,CEE 467,CEE 468,CEE 351,CEE 350,CEE 458,CEE 455,CEE 456,CEE 465,CEE 457,CEE 461,CEE 459,CEE 460,CEE 462,CEE 463,CEE 464,,,
40.0,CEE XXX,CEE elective 6,6,D,CEE 450,CEE 453,CEE 451,CEE 454,CEE 452,CEE 352,CEE 466,CEE 467,CEE 468,CEE 351,CEE 350,CEE 458,CEE 455,CEE 456,CEE 465,CEE 457,CEE 461,CEE 459,CEE 460,CEE 462,CEE 463,CEE 464,,,
,,,248,,,,,,,,,,,,,,,,,,,,,,,,,,
