course_id,course_code,course_name,credits_need,grade,Option 1,Option 2,Option 3,Option 4,Option 5,Option 6,Option 7,Option 8,Option 9,Must have Option 1,Except 1
1.0,PLS 120,Introduction to Political Theory,6,C,PLS 120,,,,,,,,,,
2.0,PLS 140,Introduction to Comparative Politics,6,C,PLS 140,,,,,,,,,,
3.0,PLS 150,Introduction to International Relations,6,C,PLS 150,,,,,,,,,,
4.0,PLS 210,Political Science Research Methods,6,C-,PLS 210,,,,,,,,,,
5.0,PLS 211,Quantitative Methods,6,C-,PLS 211,,,,,,,,,,
6.0,PLS 4XX,PLS 4XX elective,12,C-,PLS 4XX,,,,,,,,,,PLS 495
7.0,PLS 3XX/4XX,PLS 3XX or 4XX elective,18,C-,PLS 3XX,PLS 4XX,,,,,,,,,PLS 495
7.0,PLS 2XX/3XX/4XX,PLS 2XX or PLS 3XX or 4XX elective,12,C-,PLS 2XX,PLS 3XX,PLS 4XX,,,,,,,,PLS 495
8.0,Ethics,"PHIL 210, 211 or 212",6,D,PHIL 210,PHIL 211,PHIL 212,,,,,,,,
9.0,HST 100,History of Kazakhstan,6,D,HST 100,,,,,,,,,,
10.0,WCS 150,Writing and Communication I,6,C-,WCS 150,,,,,,,,,,
11.0,WCS 2XX,Writing and Communication Core,6,D,WCS 200,WCS 210,WCS 220,WCS 230,WCS 240,WCS 250,WCS 260/WLL 235,WCS 270,,,
12.0,Kazakh Language I,Core Kazakh language requirments,6,C-,KAZ XXX,KFL 102,KFL 201,KFL 202,,,,,,,KAZ 150
13.0,Kazakh Language II,Core Kazakh language requirments,6,C-,KAZ XXX,KFL 102,KFL 201,KFL 202,,,,,,,KAZ 150
14.0,Programming,Any CSCI,6,D,CSCI XXX,,,,,,,,,,
15.0,BUS 101,Business Course,6,D,BUS 101,,,,,,,,,,
18.0,MATH XXX,Any Math course,6,D,MATH XXX,,,,,,,,,,
19.0,Natural science elective,"Any BIOL, CHEM, PHYS, GEOL",6,D,BIOL XXX,CHEM XXX,PHYS XXX,GEOL XXX,,,,,,,
16.0,Humanities electives,,24,D,HUMELECTIVE,HUMSOCELECTIVE,,,,,,,,,PLS XXX
17.0,Social science elective,,18,D,SOCELECTIVE,HUMSOCELECTIVE,,,,,,,,,PLS XXX
20.0,ANY XXX,General elective,66,D,ANY XXX,,,,,,,,,,
,,,240,,,,,,,,,,,,
