course_id,course_code,course_name,credits_need,grade,Option 1,Option 2,Option 3,Option 4,Option 5,Option 6,Option 7,Option 8,Must have Option 1,Except 1
1.0,SOC 101,Introduction to Sociology,6,C,ANT 101,,,,,,,,,
2.0,Methods Courses,"SOC 201, 203 and 214",18,C-,"SOC 201, SOC 203, SOC 214",,,,,,,,,
3.0,SOC 301,Theory course,6,C-,SOC 301,,,,,,,,,
4.0,Intermediate/Advanced Electives 1,"Two from SOC 2XX, 3XX or 4XX",12,C-,SOC 2XX,SOC 3XX,SOC 4XX,,,,,,,
5.0,Intermediate/Advanced Electives 2,Two from SOC 3XX or 4XX,12,C-,SOC 3XX,SOC 4XX,,,,,,,,
6.0,Sociology elective,Any SOC course,6,C-,SOC XXX,,,,,,,,,
7.0,Senior Capstone or 4XX,"SOC 489,499 or ant 2 SOC 4XX",12,C-,"SOC 498,  SOC 499",SOC 4XX,,,,,,,,
8.0,Ethics,"PHIL 210, 211 or 212",6,D,PHIL 210,PHIL 211,PHIL 212,,,,,,,
9.0,HST 100,History of Kazakhstan,6,D,HST 100,,,,,,,,,
10.0,WCS 150,Writing and Communication I,6,C-,WCS 150,,,,,,,,,
11.0,WCS 2XX,Writing and Communication Core,6,D,WCS 200,WCS 210,WCS 220,WCS 230,WCS 240,WCS 250,WCS 260/WLL 235,WCS 270,,
12.0,Kazakh Language I,Core Kazakh language requirments,6,C-,KAZ XXX,KFL 102,KFL 201,KFL 202,,,,,,KAZ 150
13.0,Kazakh Language II,Core Kazakh language requirments,6,C-,KAZ XXX,KFL 102,KFL 201,KFL 202,,,,,,KAZ 150
14.0,Computer Science,Any CSCI course,6,D,CSCI XXX,,,,,,,,,
15.0,BUS 101,Business Course,6,D,BUS 101,,,,,,,,,
16.0,MATH XXX,Any Math course,6,D,MATH XXX,,,,,,,,,
17.0,Natural science elective,"Any BIOL, CHEM, PHYS, GEOL",6,D,BIOL XXX,CHEM XXX,PHYS XXX,GEOL XXX,,,,,,
18.0,Humanities electives,,24,D,HUMELECTIVE,HUMSOCELECTIVE,,,,,,,,SOC XXX
19.0,Social science elective,,18,D,SOCELECTIVE,HUMSOCELECTIVE,,,,,,,,SOC XXX
20.0,ANY XXX,General elective,66,D,ANY XXX,,,,,,,,,
,,,240,,,,,,,,,,,
