course_id,course_code,course_name,credits_need,grade,Option 1,Option 2,Option 3,Option 4,Option 5,Option 6,Option 7,Option 8,Option 9,Option 10,Option 11,Option 12,Option 13,Option 14,Option 15,Option 16,Option 17,Option 18,Option 19,Option 20,Option 21,Option 22,Must have Option 1,Except 1
1,CHEM 101,General Chemistry I,6,C,CHEM 101,,,,,,,,,,,,,,,,,,,,,,,
2,CHEM 102,General Chemistry II,6,C,CHEM 102,,,,,,,,,,,,,,,,,,,,,,,
3,CHEM 101L,General Chemistry I Laboratory,2,C,CHEM 101L,,,,,,,,,,,,,,,,,,,,,,,
4,CHEM 211,Organic Chemistry I,6,C,CHEM 211,,,,,,,,,,,,,,,,,,,,,,,
5,CHEM 211L,Organic Chemistry I Laboratory,2,C,CHEM 211L,,,,,,,,,,,,,,,,,,,,,,,
6,Natural science choice,"MATH 162, PHYS 162 or CHEM 212 with lab",8,C-,MATH 162,PHYS 162,"CHEM 212, CHEM 212L",,,,,,,,,,,,,,,,,,,,,
7,MATH 310,Applied Statistical Methods,6,D,MATH 310,,,,,,,,,,,,,,,,,,,,,,,
8,BIOL 105,General Biology,6,C-,BIOL 105,,,,,,,,,,,,,,,,,,,,,,,
9,BIOL 110,Modern Biology I,6,C,BIOL 110,,,,,,,,,,,,,,,,,,,,,,,
10,BIOL 110L,Modern Biology I Lab,2,C,BIOL 110L,,,,,,,,,,,,,,,,,,,,,,,
11,BIOL 120,Modern Biology II,6,C,BIOL 120,,,,,,,,,,,,,,,,,,,,,,,
12,BIOL 120L,Modern Biology II Lab,2,C,BIOL 120L,,,,,,,,,,,,,,,,,,,,,,,
13,BIOL 230,Human Anatomy and Physiology I,6,C,BIOL 230,,,,,,,,,,,,,,,,,,,,,,,
14,Biochemistry,Biochemistry I,6,C-,BIOL 341,CHEM 341,,,,,,,,,,,,,,,,,,,,,,
15,BIOL 301,Molecular Cell Biology,6,C,BIOL 301,,,,,,,,,,,,,,,,,,,,,,,
16,BIOL 305,Introduction to Microbiology,6,C-,BIOL 305,,,,,,,,,,,,,,,,,,,,,,,
17,BIOL 305L,Intro to Microbiology Lab,2,C,BIOL 305L,,,,,,,,,,,,,,,,,,,,,,,
18,BIOL 370,Genetics,6,C,BIOL 370,,,,,,,,,,,,,,,,,,,,,,,
19,BIOL 310,Immunology,6,C,BIOL 310,,,,,,,,,,,,,,,,,,,,,,,
20,Thesis,Biology Research Design,12,C,"BIOL 490, BIOL 491","BIOL 456, BIOL 492",,,,,,,,,,,,,,,,,,,,,,
21,WCS 150,Writing and Communication I,6,C-,WCS 150,,,,,,,,,,,,,,,,,,,,,,,
22,WCS 2XX,Writing and Communication Core,6,D,WCS 200,WCS 210,WCS 220,WCS 230,WCS 240,WCS 250,WCS 260/WLL 235,WCS 270,,,,,,,,,,,,,,,,
23,BIOL 321,Bioethics,6,C,BIOL 321,,,,,,,,,,,,,,,,,,,,,,,
24,PHYS 161,Natural Science Elective,8,C-,PHYS 161,,,,,,,,,,,,,,,,,,,,,,,
25,MATH 161,Mathematics,8,C,MATH 161,,,,,,,,,,,,,,,,,,,,,,,
26,BUS 101,Business Course,6,D,BUS 101,,,,,,,,,,,,,,,,,,,,,,,
27,BIOL 355,Research Methods,6,C,BIOL 355,,,,,,,,,,,,,,,,,,,,,,,
28,HST 100,History of Kazakhstan,6,D,HST 100,,,,,,,,,,,,,,,,,,,,,,,
29,Kazakh language I,Kazakh language I,6,C-,KAZ XXX,KFL 102,KFL 201,KFL 202,,,,,,,,,,,,,,,,,,,,KAZ 150
30,Kazakh language II,Kazakh language II,6,D,KAZ XXX,KFL 102,KFL 201,KFL 202,,,,,,,,,,,,,,,,,,,,KAZ 150
31,Programming course,Any CSCI course,8,D,CSCI XXX,,,,,,,,,,,,,,,,,,,,,,,
32,BIOL 4XX,Major elective ,6,C,BIOL 4XX,,,,,,,,,,,,,,,,,,,,,,,
33,BIOL 3XX/4XX,Major elective ,18,C,BIOL 3XX,BIOL 4XX,,,,,,,,,,,,,,,,,,,,,,BIOL 399
34,Technical Electvies,"Any ECON, MATH, SEDS, SMG, PHYS, CHEM (except CHEM 341)",12,C-,ECON XXX,MATH XXX,CSCI XXX,SMG XXX,PHYS XXX,CHME XXX,MAE XXX,ELCE XXX,CHEM XXX,ROBT XXX,CEE XXX,,,,,,,,,,,,,CHEM 341
35,Technical Electvies 3XX,At least one technical at 3XX,6,C-,ECON 3XX,MATH 3XX,CSCI 3XX,SMG 3XX,PHYS 3XX,CHME 3XX,MAE 3XX,ELCE 3XX,CHEM 3XX,ROBT 3XX,CEE 3XX,ECON 4XX,MATH 4XX,CSCI 4XX,SMG 4XX,PHYS 4XX,CHME 4XX,MAE 4XX,ELCE 4XX,CHEM 4XX,ROBT 4XX,CEE 4XX,,CHEM 341
36,Social science elective,,6,D,SOCELECTIVE,HUMSOCELECTIVE,,,,,,,,,,,,,,,,,,,,,,
37,ANY XXX,General electives,12,D,ANY XXX,,,,,,,,,,,,,,,,,,,,,,,
,,,240,,,,,,,,,,,,,,,,,,,,,,,,,
