course_id,course_code,course_name,credits_need,grade,Option 1,Option 2,Option 3,Option 4,Option 5,Option 6,Option 7,Option 8,Must have Option 1,Except 1
1.0,BUS 101,Core Course in Business,6,C-,BUS 101,,,,,,,,,
2.0,ECON 101,Introduction to Microeconomics,6,C-,ECON 101,,,,,,,,,
3.0,MATH 161,Calculus I,8,C-,MATH 161,,,,,,,,,
4.0,HST 100,History of Kazakhstan,6,D,HST 100,,,,,,,,,
5.0,WCS 150,Writing and Communication I,6,C-,WCS 150,,,,,,,,,
6.0,WCS 2XX,Writing and Communication Core,6,D,WCS 2XX,WCS 210,WCS 220,WCS 230,WCS 240,WCS 250,WCS 260/WLL 235,WCS 270,,
7.0,Computer Science,Any CSCI course,6,D,CSCI XXX,,,,,,,,,
8.0,ACCT 201,Introduction to Accounting,6,C-,ACCT 201,,,,,,,,,
9.0,ECON 102,Introduction to Macroeconomics,6,C-,ECON 102,,,,,,,,,
10.0,Kazakh Language I,Core Kazakh language requirments,6,C-,KAZ XXX,KFL 102,KFL 201,KFL 202,,,,,,KAZ 150
11.0,Kazakh Language II,Core Kazakh language requirments,6,C-,KAZ XXX,KFL 102,KFL 201,KFL 202,,,,,,KAZ 150
12.0,Ethics,"PHIL 210, 211 or 212",6,D,PHIL 210,PHIL 211,PHIL 212,,,,,,,
13.0,BBA 260,Operations Management,6,C-,BBA 260,,,,,,,,,
14.0,BBA 202,Data Analytics for Business,6,C-,BBA 202,,,,,,,,,
15.0,BBA 201,Management and Organizations,6,C-,BBA 201,,,,,,,,,
16.0,BBA 210,Fundamentals of Marketing,6,C-,BBA 210,,,,,,,,,
17.0,BUS 420,Business Law,6,C-,BUS 420,,,,,,,,,
18.0,FIN 201,Principles of Finance,6,C-,FIN 201,,,,,,,,,
19.0,BBA 203,Responsible Leadership,6,C-,BBA 203,,,,,,,,,
20.0,BBA 230,Entrepreneurship,6,C-,BBA 230,,,,,,,,,
21.0,BBA 209,Environmental Social and Governance Factors,6,C-,BBA 209,,,,,,,,,
22.0,BBA 240,Strategy,6,C-,BBA 240,,,,,,,,,
23.0,BBA 399,Internship,6,C-,BBA 399,,,,,,,,,
24.0,BBA 499,Capstone,6,C-,BBA 499,,,,,,,,,
25.0,Advanced BBA electives,BBA 3XX or 4XX,30,C-,BBA 3XX,BBA 4XX,,,,,,,,
26.0,Natural science elective,"Any BIOL, CHEM, PHYS, GEOL",6,C-,BIOL XXX,CHEM XXX,PHYS XXX,GEOL XXX,,,,,,
27.0,Humanities electives,,6,C-,HUMELECTIVE,HUMSOCELECTIVE,,,,,,,,
28.0,Social science elective,,6,C-,SOCELECTIVE,HUMSOCELECTIVE,,,,,,,,
29.0,ANY XXX,General elective,48,C-,ANY XXX,,,,,,,,,
,,,242,,,,,,,,,,,
