course_id,course_code,course_name,credits_need,grade,Option 1,Option 2,Option 3,Option 4,Option 5,Option 6,Option 7,Option 8,Option 9,Must have Option 1,Except 1,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
1.0,MATH 161,Calculus I,8,C,MATH 161,,,,,,,,,,,,,,,,,,,,,,,,
2.0,SMG 100,Introduction to Natural Resources Extraction,6,D,SMG 100,,,,,,,,,,,,,,,,,,,,,,,,
3.0,ENG 101,Programming for Engineers,6,D,ENG 101,,,,,,,,,,,,,,,,,,,,,,,,
4.0,PHYS 161,Physics I for Scientists and Engineers,8,C-,PHYS 161,,,,,,,,,,,,,,,,,,,,,,,,
5.0,WCS 150,Rhetoric and Composition,6,C-,WCS 150,,,,,,,,,,,,,,,,,,,,,,,,
6.0,HST 100,History of Kazakhstan,6,D,HST 100,,,,,,,,,,,,,,,,,,,,,,,,
7.0,MATH 162,Calculus II,8,C,MATH 162,,,,,,,,,,,,,,,,,,,,,,,,
8.0,PHYS 162,Physics II for Scientists and Engineers,8,C-,PHYS 162,,,,,,,,,,,,,,,,,,,,,,,,
9.0,CHEM 101,General Chemistry I,6,C,CHEM 101,,,,,,,,,,,,,,,,,,,,,,,,
10.0,Kazakh language I,,6,C-,KAZ XXX,KFL 102,KFL 201,KFL 202,,,,,,,KAZ 150,,,,,,,,,,,,,,KAZ 150
11.0,Kazakh language II,,6,D,KAZ XXX,KFL 102,KFL 201,KFL 202,,,,,,,KAZ 150,,,,,,,,,,,,,,KAZ 150
12.0,WCS 210,Technical and Professional Writing,6,D,WCS 210,,,,,,,,,,,,,,,,,,,,,,,,
13.0,CHEM 101L,General Chemistry I Lab,2,C,CHEM 101L,,,,,,,,,,,,,,,,,,,,,,,,
14.0,PHIL 210,Ethics,6,D,PHIL 210,,,,,,,,,,,,,,,,,,,,,,,,
15.0,GEOL 101,Fundamentals of Geology,6,C-,GEOL 101,,,,,,,,,,,,,,,,,,,,,,,,
16.0,GEOL 201,Mineralogy and Petrology,6,D,GEOL 201,,,,,,,,,,,,,,,,,,,,,,,,
17.0,GEOL 202,Geologic Maps and Cross - Sections,6,C-,GEOL 202,,,,,,,,,,,,,,,,,,,,,,,,
18.0,GEOL 207,Geomorphology,6,D,GEOL 207,,,,,,,,,,,,,,,,,,,,,,,,
19.0,GEOL 204,Sedimentology and Stratigraphy,6,D,GEOL 204,,,,,,,,,,,,,,,,,,,,,,,,
20.0,GEOL 205,Paleontology,6,D,GEOL 205,,,,,,,,,,,,,,,,,,,,,,,,
21.0,GEOL 206,Field Geology I,6,D,GEOL 206,,,,,,,,,,,,,,,,,,,,,,,,
22.0,GEOL 301,Igneous and Metamorphic Petrology,6,D,GEOL 301,,,,,,,,,,,,,,,,,,,,,,,,
23.0,GEOL 203,Sedimentary Petrology,6,D,GEOL 203,,,,,,,,,,,,,,,,,,,,,,,,
24.0,GEOL 302,Thermodynamics and Geochemistry,6,D,GEOL 302,,,,,,,,,,,,,,,,,,,,,,,,
25.0,GEOL 303,Structural Geology and Tectonics,6,D,GEOL 303,,,,,,,,,,,,,,,,,,,,,,,,
26.0,GEOL 305,Geology of Ore Deposits,6,D,GEOL 305,,,,,,,,,,,,,,,,,,,,,,,,
27.0,SMG 200,Resource Economics and Project Valuation,6,D,SMG 200,,,,,,,,,,,,,,,,,,,,,,,,
28.0,GEOL 304,Geophysics,6,D,GEOL 304,,,,,,,,,,,,,,,,,,,,,,,,
29.0,GEOL 306,Geodynamics,6,D,GEOL 306,,,,,,,,,,,,,,,,,,,,,,,,
30.0,GEOL 307,Geographic Information Systems,6,D,GEOL 307,,,,,,,,,,,,,,,,,,,,,,,,
31.0,GEOL 309,Hydrogeology,6,D,GEOL 309,,,,,,,,,,,,,,,,,,,,,,,,
32.0,GEOL 310,Field Geology II,6,D,GEOL 310,,,,,,,,,,,,,,,,,,,,,,,,
33.0,GEOL 401,Petroleum Geology and Geochemistry,6,D,GEOL 401,,,,,,,,,,,,,,,,,,,,,,,,
34.0,GEOL 402,Water Resource Management,6,D,GEOL 402,,,,,,,,,,,,,,,,,,,,,,,,
35.0,GEOL 404,Research Project I,6,C-,GEOL 404,,,,,,,,,,,,,,,,,,,,,,,,
36.0,GEOL 405,Research Project II,6,D,GEOL 405,,,,,,,,,,,,,,,,,,,,,,,,
37.0,GEOL 403,Geostatistics,6,D,GEOL 403,,,,,,,,,,,,,,,,,,,,,,,,
38.0,GEOL XXX,Geology Technical Electives,18,D,GEOL 412,GEOL 411,GEOL 407,GEOL 410,GEOL 308,,,,,,,,,,,,,,,,,,,,
39.0,BUS 101,Business Course,6,D,BUS 101,,,,,,,,,,,,,,,,,,,,,,,,
,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,
