course_id,course_code,course_name,credits_need,grade,Option 1,Option 2,Option 3,Option 4,Option 5,Option 6,Option 7,Option 8,Must have Option 1,Except 1
1.0,Elementary Course,Any two HST 1XX except HST 100,12,C-,HST 1XX,,,,,,,,,HST 100
2.0,Research Methods,HST 274/WLL 274,6,C-,HST 274/WLL 274,,,,,,,,,
3.0,Intermediate Courses,Any 2 HST 2XX or above,12,C-,HST 2XX,HST 3XX,HST 4XX,,,,,,,
4.0,Advanced Courses 3XX,Any two HST 3XX course,12,C-,HST 3XX,,,,,,,,,
5.0,Advanced Course 4XX,Any HST 4XX course,6,C-,HST 4XX,,,,,,,,,
6.0,Senior Colloquium,HST 498,6,C-,HST 498,,,,,,,,,
7.0,Senior Capstone or 4XX,HST 499 or HST 4XX,6,C-,HST 499,HST 4XX,,,,,,,,
8.0,General HST elective,,6,C-,HST XXX,,,,,,,,,HST 100
9.0,Ethics,"PHIL 210, 211 or 212",6,D,PHIL 210,PHIL 211,PHIL 212,,,,,,,
10.0,HST 100,History of Kazakhstan,6,B-,HST 100,,,,,,,,,
11.0,WCS 150,Writing and Communication I,6,C-,WCS 150,,,,,,,,,
12.0,WCS 2XX,Writing and Communication Core,6,D,WCS 200,WCS 210,WCS 220,WCS 230,WCS 240,WCS 250,WCS 260/WLL 235,WCS 270,,
13.0,Kazakh Language I,Core Kazakh language requirments,6,C-,KAZ XXX,KFL 102,KFL 201,KFL 202,,,,,,KAZ 150
14.0,Kazakh Language II,Core Kazakh language requirments,6,C-,KAZ XXX,KFL 102,KFL 201,KFL 202,,,,,,KAZ 150
15.0,Computer Science,Any CSCI course,6,D,CSCI XXX,,,,,,,,,
16.0,BUS 101,Business Course,6,D,BUS 101,,,,,,,,,
17.0,MATH XXX,Any Math course,6,D,MATH XXX,,,,,,,,,
18.0,Natural science elective,"Any BIOL, CHEM, PHYS, GEOL",6,D,BIOL XXX,CHEM XXX,PHYS XXX,GEOL XXX,,,,,,
19.0,Humanities electives,,24,D,HUMELECTIVE,HUMSOCELECTIVE,,,,,,,,HST XXX
20.0,Social science elective,,18,D,SOCELECTIVE,HUMSOCELECTIVE,,,,,,,,HST XXX
21.0,ANY XXX,General elective,72,D,ANY XXX,,,,,,,,,
,,,240,,,,,,,,,,,
