course_id,course_code,course_name,credits_need,grade,Option 1,Option 2,Option 3,Option 4,Option 5,Option 6,Option 7,Option 8,Option 9,Must have Option 1,Except 1
1.0,BIOL 110,Modern Biology 1,6,C,BIOL 110,,,,,,,,,,
2.0,BIOL 110L,Modern Biology 1 Laboratory,2,C,BIOL 110L,,,,,,,,,,
3.0,CHEM 101,General Chemistry 1,6,C,CHEM 101,,,,,,,,,,
4.0,CHEM 101L,General Chemistry 1 Laboratory,2,C,CHEM 101L,,,,,,,,,,
5.0,NUSOM 101,Introduction to Medicine,4,D,NUSOM 101,,,,,,,,,,
6.0,WCS 150,Rhetoric and Composition,6,C-,WCS 150,,,,,,,,,,
7.0,BIOL 120,Modern Biology II,6,C,BIOL 120,,,,,,,,,,
8.0,BIOL 120L,Modern Biology II Laboratory,2,C,BIOL 120L,,,,,,,,,,
9.0,CHEM 102,General Chemistry II,6,C,CHEM 102,,,,,,,,,,
10.0,MATH 161,Calculus I,8,C-,MATH 161,,,,,,,,,,
11.0,Kazakh Language I,Core Kazakh language requirments,6,C-,KAZ XXX,KFL 102,KFL 201,KFL 202,,,,,,,KAZ 150
12.0,Kazakh Language II,Core Kazakh language requirments,6,D,KAZ XXX,KFL 102,KFL 201,KFL 202,,,,,,,KAZ 150
13.0,CHEM 211,Organic Chemistry,6,C,CHEM 211,,,,,,,,,,
14.0,PHYS 161,Physics for Scientists and Engineers I with Laboratory,8,D,PHYS 161,,,,,,,,,,
15.0,BIOL 3XX or 4XX,Elective ,6,D,BIOL 3XX,BIOL 4XX,,,,,,,,,
16.0,BIOL 341 or CHEM 341,Biochemistry,6,D,CHEM 341,,,,,,,,,,
17.0,WCS 200,Writing and Communication Core,6,D,WCS 200,WCS 210,WCS 220,WCS 230,WCS 240,WCS 250,WCS 260/WLL 235,WCS 270,,,
18.0,BUS 101,Business Course,6,D,BUS 101,,,,,,,,,,
19.0,BIOL 355,Critical Research Reasoning,6,D,BIOL 355,,,,,,,,,,
20.0,PHIL 210 ,Ethics ,6,D,PHIL 210 ,,,,,,,,,,
21.0,Any CSCI or SEDS programming course,Computer Science ,6,D,CSCI XXX ,ENG 100,,,,,,,,,
22.0,HST 100,History of Kazakhstan,6,D,HST 100,,,,,,,,,,
23.0,Social electives,,6,D,SOCELECTIVE,HUMSOCELECTIVE,,,,,,,,,
24.0,Humanities electives,,6,D,HUMELECTIVE,HUMSOCELECTIVE,,,,,,,,,
25.0,NUSM 301,"Introduction to Immunology, Microbiology and Genetics",6,C-,NUSM 301,,,,,,,,,,
26.0,NUSM 302,Introduction to Statistics for Evidence-Based Practice,6,C-,NUSM 302,,,,,,,,,,
27.0,NUSM 303,Introduction to Anatomy and Histology,6,C-,NUSM 303,,,,,,,,,,
28.0,NUSM 310 ,Capstone Project,30,C,NUSM 310 ,,,,,,,,,,
29.0,NUSM 401,Introduction to Being a Physician,4,Pass,NUSM 401,,,,,,,,,,
30.0,NUSM 402,Medical Anatomy,16,Pass,NUSM 402,,,,,,,,,,
31.0,NUSM 403,Human Genetics,6,Pass,NUSM 403,,,,,,,,,,
32.0,NUSM 405,Fuel Metabolism,6,Pass,NUSM 405,,,,,,,,,,
33.0,NUSM 408,Pharmacology,4,Pass,NUSM 408,,,,,,,,,,
34.0,NUSM 404,Cellular Pathologic Basis of Disease,8,Pass,NUSM 404,,,,,,,,,,
35.0,NUSM 406,Immunology in Health and Disease,9,Pass,NUSM 406,,,,,,,,,,
36.0,NUSM 407,Medical Microbiology,9,Pass,NUSM 407,,,,,,,,,,
,,,244,,,,,,,,,,,,
