course_id,course_code,course_name,credits_need,grade,Option 1,Option 2,Option 3,Option 4,Option 5,Option 6,Option 7,Option 8,Option 9,Must have Option 1,Except 1,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
1.0,MATH 161,Calculus I,8,C,MATH 161,,,,,,,,,,,,,,,,,,,,,,,,
2.0,SMG 100,Introduction to Natural Resources Extraction,6,C-,SMG 100,,,,,,,,,,,,,,,,,,,,,,,,
3.0,ENG 101,Programming for Engineers,6,D,ENG 101,,,,,,,,,,,,,,,,,,,,,,,,
4.0,PHYS 161,Physics I for Scientists and Engineers,8,C-,PHYS 161,,,,,,,,,,,,,,,,,,,,,,,,
5.0,WCS 150,Rhetoric and Composition,6,C-,WCS 150,,,,,,,,,,,,,,,,,,,,,,,,
6.0,HST 100,History of Kazakhstan,6,D,HST 100,,,,,,,,,,,,,,,,,,,,,,,,
7.0,MATH 162,Calculus II,8,C,MATH 162,,,,,,,,,,,,,,,,,,,,,,,,
8.0,PHYS 162,Physics II for Scientists and Engineers,8,C-,PHYS 162,,,,,,,,,,,,,,,,,,,,,,,,
9.0,CHEM 101,General Chemistry I,6,C-,CHEM 101,,,,,,,,,,,,,,,,,,,,,,,,
10.0,Kazakh Language I,Core Kazakh language requirments,6,C-,KAZ XXX,KFL 102,KFL 201,KFL 202,,,,,,,KAZ 150,,,,,,,,,,,,,,KAZ 150
11.0,Kazakh Language II,Core Kazakh language requirments,6,D,KAZ XXX,KFL 102,KFL 201,KFL 202,,,,,,,KAZ 150,,,,,,,,,,,,,,KAZ 150
12.0,WCS 210,Technical and Professional Writing,6,D,WCS 210,,,,,,,,,,,,,,,,,,,,,,,,
13.0,CHEM 101L,General Chemistry I Lab,2,C-,CHEM 101L,,,,,,,,,,,,,,,,,,,,,,,,
14.0,PHIL 210,Ethics,6,D,PHIL 210,,,,,,,,,,,,,,,,,,,,,,,,
15.0,BUS 101,Business Course,6,D,BUS 101,,,,,,,,,,,,,,,,,,,,,,,,
16.0,GEOL 101,Fundamentals of Geology,6,C-,GEOL 101,,,,,,,,,,,,,,,,,,,,,,,,
17.0,ENG 200,Differntial Equations and Linear Algebra,6,C-,ENG 200,,,,,,,,,,,,,,,,,,,,,,,,
18.0,CEE 200,Structural Mechanics I,6,C-,CEE 200,SMG 210,,,,,,,,,,,,,,,,,,,,,,,
19.0,ROBT 201,Mechanics: Statics and Dynamics,6,C-,ROBT 201,,,,,,,,,,,,,,,,,,,,,,,,
20.0,PETE 201,Fluid Mechanics and Thermodynamics,6,C-,PETE 201,,,,,,,,,,,,,,,,,,,,,,,,
21.0,PETE 202,Transport Phenomena,6,C-,PETE 202,,,,,,,,,,,,,,,,,,,,,,,,
22.0,PETE 203,Drilling Engineering and Well Completion,8,C-,PETE 203,,,,,,,,,,,,,,,,,,,,,,,,
23.0,PETE 204,Reservoir Rock and Fluid Properties,8,C-,PETE 204,,,,,,,,,,,,,,,,,,,,,,,,
24.0,PETE 301,Numerical Methods for Petroleum Engineers,6,C-,PETE 301,,,,,,,,,,,,,,,,,,,,,,,,
25.0,PETE 302,Reservoir Engineering I,8,C-,PETE 302,,,,,,,,,,,,,,,,,,,,,,,,
26.0,PETE 303,Well Logging and Formation Evaluation,6,C-,PETE 303,,,,,,,,,,,,,,,,,,,,,,,,
27.0,PETE 304,Well Completion and Stimulation,6,C-,PETE 304,,,,,,,,,,,,,,,,,,,,,,,,
28.0,MATH 310,Applied Statistical Methods,6,C-,MATH 310,,,,,,,,,,,,,,,,,,,,,,,,
29.0,PETE 305,Well Test Analysis,6,C-,PETE 305,,,,,,,,,,,,,,,,,,,,,,,,
30.0,PETE 306,Reservoir Engineering II,6,C-,PETE 306,,,,,,,,,,,,,,,,,,,,,,,,
31.0,PETE 307,Production Engineering,6,C-,PETE 307,,,,,,,,,,,,,,,,,,,,,,,,
32.0,PETE 311,Reservoir Simulation,6,C-,PETE 311,,,,,,,,,,,,,,,,,,,,,,,,
33.0,SMG 200,Resource Economics and Project Valuation,6,C-,SMG 200,,,,,,,,,,,,,,,,,,,,,,,,
34.0,PETE 400,Capstone Design Project I,6,C-,PETE 400,,,,,,,,,,,,,,,,,,,,,,,,
35.0,GEOL 401,Petroleum Geology and Geochemistry,6,C-,PETE 401,,,,,,,,,,,,,,,,,,,,,,,,
36.0,PETE 404,Reservoir Geomechanics,6,C-,PETE 404,,,,,,,,,,,,,,,,,,,,,,,,
37.0,PETE 405,Enhanced Oil Recovery,6,C-,PETE 405,,,,,,,,,,,,,,,,,,,,,,,,
38.0,PETE 407,Capstone Design Project II,6,C-,PETE 407,,,,,,,,,,,,,,,,,,,,,,,,
39.0,PETE XXX,Petroleum Engineering Technical Electives,12,C-,PETE 409,PETE 410,SMG 400,PETE 421,PETE 401,PETE 408,,,,,,,,,,,,,,,,,,,
,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,
