course_id,course_code,course_name,credits_need,grade,Option 1,Option 2,Option 3,Option 4,Option 5,Option 6,Option 7,Option 8,Option 9,Option 10,Option 11,Option 12,Option 13,Option 14,Option 15,Option 16,Option 17,Option 18,Option 19,Option 20,Option 21,Must have Option 1,Except 1
1.0,PHYS 161,Natural Science Elective,8,C-,PHYS 161,,,,,,,,,,,,,,,,,,,,,,
2.0,PHYS 162,Physics II for Scientists and Engineers with Laboratory,8,C-,PHYS 162,,,,,,,,,,,,,,,,,,,,,,
3.0,PHYS 221,Classical Mechanics I,6,C-,PHYS 221,,,,,,,,,,,,,,,,,,,,,,
4.0,PHYS 222,Classical Mechanics II,6,C-,PHYS 222,,,,,,,,,,,,,,,,,,,,,,
5.0,PHYS 261,Modern Physics with Laboratory,8,C-,PHYS 261,,,,,,,,,,,,,,,,,,,,,,
6.0,PHYS 270,Introduction to Scientific Computing and Data Analysis,6,C-,PHYS 270,,,,,,,,,,,,,,,,,,,,,,
7.0,PHYS 280,Thermodynamics and Statical Physics,6,C-,PHYS 280,,,,,,,,,,,,,,,,,,,,,,
8.0,PHYS 315,Mathematical Methods of Physics,6,C-,PHYS 315,,,,,,,,,,,,,,,,,,,,,,
9.0,PHYS 361,Classical Electrodynamics I,6,C-,PHYS 361,,,,,,,,,,,,,,,,,,,,,,
10.0,PHYS 362,Classical Electrodynamics II,6,C-,PHYS 362,,,,,,,,,,,,,,,,,,,,,,
11.0,PHYS 370,Optics with Laboratory,8,C-,PHYS 370,,,,,,,,,,,,,,,,,,,,,,
12.0,PHYS 395,Research Methods,6,C-,PHYS 395,,,,,,,,,,,,,,,,,,,,,,
13.0,PHYS 451,Quantum Mechanics I,6,C-,PHYS 451,,,,,,,,,,,,,,,,,,,,,,
14.0,PHYS 452,Quantum Mechanics II,6,C-,PHYS 452,,,,,,,,,,,,,,,,,,,,,,
15.0,Major electives,"At least 2 from PHYS 399, 465, 470, 473, 474, 491, 499, At least 3 courses at 4XX",24,C-,"PHYS 399, PHYS 465, PHYS 4XX, PHYS 4XX","PHYS 399, PHYS 470, PHYS 4XX, PHYS 4XX","PHYS 399, PHYS 473, PHYS 4XX, PHYS 4XX","PHYS 399, PHYS 474, PHYS 4XX, PHYS 4XX","PHYS 399, PHYS 491, PHYS 4XX, PHYS 4XX","PHYS 399, PHYS 499, PHYS 4XX, PHYS 4XX","PHYS 465, PHYS 470, PHYS 4XX, PHYS XXX","PHYS 465, PHYS 473, PHYS 4XX, PHYS XXX","PHYS 465, PHYS 474, PHYS 4XX, PHYS XXX","PHYS 465, PHYS 491, PHYS 4XX, PHYS XXX","PHYS 465, PHYS 499, PHYS 4XX, PHYS XXX","PHYS 470, PHYS 473, PHYS 4XX, PHYS XXX","PHYS 470, PHYS 474, PHYS 4XX, PHYS XXX","PHYS 470, PHYS 491, PHYS 4XX, PHYS XXX","PHYS 470, PHYS 499, PHYS 4XX, PHYS XXX","PHYS 473, PHYS 474, PHYS 4XX, PHYS XXX","PHYS 473, PHYS 491, PHYS 4XX, PHYS XXX","PHYS 473, PHYS 499, PHYS 4XX, PHYS XXX","PHYS 474, PHYS 491, PHYS 4XX, PHYS XXX","PHYS 474, PHYS 499, PHYS 4XX, PHYS XXX","PHYS 491, PHYS 499, PHYS 4XX, PHYS XXX",,PHYS 498
