course_id,course_code,course_name,credits_need,grade,Option 1,Option 2,Option 3,Option 4,Option 5,Option 6,Option 7,Option 8,Option 9,Must have Option 1,Except 1
1.0,NUSM 101,Introduction to Medicine,4,D,NUSM 101,,,,,,,,,,
2.0,NUSM 102,Biology for Medical Students I with Lab,8,D,NUSM 102,,,,,,,,,,
3.0,CHEM 101,General Chemistry I,6,C,CHEM 101,,,,,,,,,,
4.0,CHEM 101L,General Chemistry I Laboratory,2,C,CHEM 101L,,,,,,,,,,
5.0,WCS 150,Rhetoric and Composition,6,C-,WCS 150,,,,,,,,,,
11.0,Kazakh Language I,Core Kazakh language requirments,6,C-,KAZ XXX,KFL 102,KFL 201,KFL 202,,,,,,,KAZ 150
12.0,Kazakh Language II,Core Kazakh language requirments,6,D,KAZ XXX,KFL 102,KFL 201,KFL 202,,,,,,,KAZ 150
7.0,NUSM 103,Biology for Medical Students II with Lab,8,D,NUSM 103,,,,,,,,,,
8.0,CHEM 102,General Chemistry II,6,C,CHEM 102,,,,,,,,,,
9.0,MATH 161,Calculus I,8,C-,MATH 161,,,,,,,,,,
10.0,BUS 101,Core Course in Business,6,C,BUS 101,,,,,,,,,,
11.0,CHEM 211,Organic Chemistry 1,6,C,CHEM 211,,,,,,,,,,
12.0,HST 100,History of Kazakhstan,6,D,HST 100,,,,,,,,,,
13.0,PHYS 161,Physics for Scientists and Engineers I with Laboratory,8,D,PHYS 161,,,,,,,,,,
14.0,WCS 2XX,Writing and Communication Core,6,D,WCS 200,WCS 210,WCS 220,WCS 230,WCS 240,WCS 250,WCS 260/WLL 235,WCS 270,,,
15.0,SOC 101,Introduction to Sociology,6,D,SOC 101,,,,,,,,,,
16.0,NUSM 301,"Introduction to Immunology, Microbiology and Genetics",6,D,NUSM 301,,,,,,,,,,
17.0,NUSM 303,Introduction to Anatomy and Histology,6,D,NUSM 303,,,,,,,,,,
18.0,NUSM 304,Modern Laboratory Techniques,6,D,NUSM 304,,,,,,,,,,
19.0,NUSM 305,Biochemistry for Medical Students,6,D,NUSM 305,,,,,,,,,,
20.0,NUSM 306,Cellular and Molecular Biology,6,D,NUSM 306,,,,,,,,,,
21.0,Any CSCI or SEDS programming course,Computer Science ,6,D,CSCI XXX ,ENG 1XX,,,,,,,,,
,,,134,,,,,,,,,,,,
