course_id,course_code,course_name,credits_need,grade,Option 1,Option 2,Option 3,Option 4,Option 5,Option 6,Option 7,Option 8,Option 9,Option 10,Option 11,Must have Option 1,Except 1,Except 2
1.0,CHEM 101,General Chemistry I,6,C,CHEM 101,,,,,,,,,,,,,
2.0,CHEM 102,General Chemistry II,6,C,CHEM 102,,,,,,,,,,,,,
3.0,CHEM 101L,General Chemistry I Laboratory,2,C,CHEM 101L,,,,,,,,,,,,,
4.0,CHEM 211,Organic Chemistry I,6,C,CHEM 211,,,,,,,,,,,,,
5.0,CHEM 211L,Organic Chemistry I Laboratory,2,C,CHEM 211L,,,,,,,,,,,,,
6.0,CHEM 212,Organic Chemistry II,6,C,CHEM 212,,,,,,,,,,,,,
7.0,CHEM 212L,Organic Chemistry II Laboratory,2,C,CHEM 212L,,,,,,,,,,,,,
8.0,CHEM 220,Quantitative Chemical Analysis,6,C,CHEM 220,,,,,,,,,,,,,
9.0,CHEM 220L,Quantitative Chemical Analysis Lab,2,C,CHEM 220L,,,,,,,,,,,,,
10.0,CHEM 250,Descriptive Inorganic Chemistry,6,C,CHEM 250,,,,,,,,,,,,,
11.0,CHEM 320,Instrumental Analysis,6,C,CHEM 320,,,,,,,,,,,,,
12.0,CHEM 320L,Instrumental Analysis Lab,2,C-,CHEM 320L,,,,,,,,,,,,,
13.0,CHEM 331,Physical Chemistry I,6,C,CHEM 331,,,,,,,,,,,,,
14.0,CHEM 331L,Physical Chemistry I Lab,2,C,CHEM 331L,,,,,,,,,,,,,
15.0,CHEM 332,Physical Chemistry II,6,C,CHEM 332,,,,,,,,,,,,,
16.0,CHEM 332L,Physical Chemistry II Lab,2,C-,CHEM 332L,,,,,,,,,,,,,
17.0,CHEM 341,Biochemistry I,6,C,CHEM 341,,,,,,,,,,,,,
18.0,CHEM 341L,Biochemistry I Lab,2,C-,CHEM 341L,,,,,,,,,,,,,
19.0,CHEM 350,Advanced Inorganic Chemistry,6,C,CHEM 350,,,,,,,,,,,,,
20.0,CHEM 350L,Advanced Inorganic Chemistry Lab,2,C-,CHEM 350L,,,,,,,,,,,,,
21.0,CHEM 488,Directed Research I,6,C,CHEM 488,,,,,,,,,,,,,
22.0,CHEM 489,Directed Research II,6,C,CHEM 489,,,,,,,,,,,,,
23.0,MATH 274,Mathematics,6,C-,MATH 274,,,,,,,,,,,,,
24.0,WCS 150,Writing and Communication I,6,C-,WCS 150,,,,,,,,,,,,,
25.0,WCS 2XX,Writing and Communication Core,6,D,WCS 200,WCS 210,WCS 220,WCS 230,WCS 240,WCS 250,WCS 260/WLL 235,WCS 270,,,,,,
26.0,PHIL 210,Ethics,6,D,PHIL 210,,,,,,,,,,,,,
27.0,PHYS 161,Natural Science Elective,8,C,PHYS 161,,,,,,,,,,,,,
28.0,MATH 161,Mathematics,8,C,MATH 161,,,,,,,,,,,,,
29.0,BUS 101,Business Course,6,D,BUS 101,,,,,,,,,,,,,
30.0,CHEM 380,Research Methods,6,C,CHEM 380,,,,,,,,,,,,,
31.0,HST 100,History of Kazakhstan,6,D,HST 100,,,,,,,,,,,,,
32.0,Kazakh language I,,6,С-,KAZ XXX,KFL 102,KFL 201,KFL 202,,,,,,,,,KAZ 150,
33.0,Kazakh language II,,6,D,KAZ XXX,KFL 102,KFL 201,KFL 202,,,,,,,,,KAZ 150,
34.0,Computer Science,Any CSCI course,8,D,CSCI XXX,,,,,,,,,,,,,
35.0,CHEM 4XX,Major electives,24,C,CHEM 4XX,,,,,,,,,,,,CHEM 489,CHEM 488
36.0,MATH 162,Mathematics,8,C,MATH 162,,,,,,,,,,,,,
37.0,Technical Electvies,"Any ECON, MATH, SEDS, SMG, PHYS, BIOL (except BIOL 341)",12,C-,ECON XXX,MATH XXX,CSCI XXX,SMG XXX,PHYS XXX,CHME XXX,MAE XXX,ELCE XXX,BIOL XXX,ROBT XXX,CEE XXX,,CHEM 341,
38.0,Technical Electvies 3XX,At least one technical at 3XX,6,C-,ECON 3XX,MATH 3XX,CSCI 3XX,SMG 3XX,PHYS 3XX,CHME 3XX,MAE 3XX,ELCE 3XX,BIOL 3XX,ROBT 3XX,CEE 3XX,,CHEM 341,
39.0,Social science elective,,6,D,SOCELECTIVE,HUMSOCELECTIVE,,,,,,,,,,,,
40.0,ANY XXX,General electives,12,C-,ANY XXX,,,,,,,,,,,,,
,,,242,,,,,,,,,,,,,,,
