course_id,course_code,course_name,credits_need,grade,Option 1,Option 2,Option 3,Option 4,Option 5,Option 6,Option 7,Option 8,Option 9,Option 10,Option 11,Option 12,Option 13,Option 14,Option 15,Option 16,Option 17,Option 18,Option 19,Option 20,Option 21,Option 22,Must have Option 1,Except 1
1,MATH 161,Calculus I,8,C,MATH 161,,,,,,,,,,,,,,,,,,,,,,,
2,MATH 162,Calculus II,8,C,MATH 162,,,,,,,,,,,,,,,,,,,,,,,
3,MATH 251,Discrete Mathematics,6,C,MATH 251,,,,,,,,,,,,,,,,,,,,,,,
4,MATH 263,Calculus III,8,C,MATH 263,,,,,,,,,,,,,,,,,,,,,,,
5,MATH 273,Linear Algebra with Applications,8,C,MATH 273,,,,,,,,,,,,,,,,,,,,,,,
6,MATH 274,Introduction to Differential Equations,6,C,MATH 274,,,,,,,,,,,,,,,,,,,,,,,
7,MATH 302,Abstract Algebra I,6,C-,MATH 302,,,,,,,,,,,,,,,,,,,,,,,
8,MATH 321,Probability,6,C,MATH 321,,,,,,,,,,,,,,,,,,,,,,,
9,MATH 322,Mathematical Statistics,6,C-,MATH 322,,,,,,,,,,,,,,,,,,,,,,,
10,MATH 350,Research Methods,6,C-,MATH 350,,,,,,,,,,,,,,,,,,,,,,,
11,MATH 351,Numerical Methods,6,C-,MATH 351,,,,,,,,,,,,,,,,,,,,,,,
12,MATH 361,Real Analysis I,6,C-,MATH 361,,,,,,,,,,,,,,,,,,,,,,,
13,Research Math course,MATH course,12,C-,MATH 407,MATH 411,MATH 440,MATH 441, MATH 446,MATH 449,MATH 477,MATH 499,,,,,,,,,,,,,,,,
14,MATH 3XX/MATH 4XX,Major elective,18,C-,MATH 3XX,MATH 4XX,,,,,,,,,,,,,,,,,,,,,,
15,MATH 4XX,Major elective,24,C-,MATH 4XX,,,,,,,,,,,,,,,,,,,,,,,
16,HST 100,History of Kazakhstan,6,D,HST 100,,,,,,,,,,,,,,,,,,,,,,,
17,Kazakh Language I,Core Kazakh language requirments,6,C-,KAZ XXX,KFL 102,KFL 201,KFL 202,,,,,,,,,,,,,,,,,,,,KAZ 150
18,Kazakh Language II,Core Kazakh language requirments,6,D,KAZ XXX,KFL 102,KFL 201,KFL 202,,,,,,,,,,,,,,,,,,,,KAZ 150
19,PHIL 210,Ethics,6,D,PHIL 210,,,,,,,,,,,,,,,,,,,,,,,
20,WCS 150,Writing and Communication I,6,C-,WCS 150,,,,,,,,,,,,,,,,,,,,,,,
21,WCS 2XX,Writing and Communication Core,6,D,WCS 200,WCS 210,WCS 220,WCS 230,WCS 240,WCS 250,WCS 260/WLL 235,WCS 270,,,,,,,,,,,,,,,,
22,BUS 101,Business,6,D,BUS 101,,,,,,,,,,,,,,,,,,,,,,,
23,Programming,CSCI 115 or CSCI 151,8,D,CSCI 115,CSCI 151,,,,,,,,,,,,,,,,,,,,,,
25,Natural Science elective,"Any PHYS, CHEM, BIOL, GEOL (except BIOL 101)",8,D,PHYS XXX,CHEM XXX,BIOL XXX,GEOL XXX,,,,,,,,,,,,,,,,,,,,
26,Technical elective 3XX+,"BIOL, CHEM, ECON, PHYS, SEDS, SMG",6,D,ECON 3XX,BIOL 3XX,CSCI 3XX,SMG 3XX,PHYS 3XX,CHME 3XX,MAE 3XX,ELCE 3XX,CHEM 3XX,CEE 3XX,ROBT 3XX,ECON 4XX,BIOL 4XX,CSCI 4XX,SMG 4XX,PHYS 4XX,CHME 4XX,MAE 4XX,ELCE 4XX,CHEM 4XX,CEE 4XX,ROBT 4XX,,
27,Technical elective,"BIOL, CHEM, ECON, PHYS, SEDS, SMG",12,D,ECON XXX,BIOL XXX,CSCI XXX,SMG XXX,PHYS XXX,CHME XXX,MAE XXX,ELCE XXX,CHEM XXX,CEE XXX,ROBT XXX,,,,,,,,,,,,,
24,Social science elective,,6,D,SOCELECTIVE,HUMSOCELECTIVE,,,,,,,,,,,,,,,,,,,,,,
28,ANY XXX,General elective,24,D,ANY XXX,,,,,,,,,,,,,,,,,,,,,,,
,,,240,,,,,,,,,,,,,,,,,,,,,,,,,
