course_id,course_code,course_name,credits_need,grade,Option 1,Option 2,Option 3,Option 4,Option 5,Option 6,Option 7,Option 8,Option 9,Option 10,Option 11,Option 12,Option 13,Option 14,Option 15,Option 16,Option 17,Must have Option 1,Except 1
1.0,MATH 161,Calculus I,8,C,MATH 161,,,,,,,,,,,,,,,,,,
2.0,PHYS 161,Physics for Scientists and Engineers I with Lab,8,C-,PHYS 161,,,,,,,,,,,,,,,,,,
3.0,ENG 100,Introduction to Engineering,6,D,ENG 100,,,,,,,,,,,,,,,,,,
4.0,ENG 101,Programming for Engineers,6,D,ENG 101,,,,,,,,,,,,,,,,,,
5.0,WCS 150,Rhetoric and Composition,6,C-,WCS 150,,,,,,,,,,,,,,,,,,
6.0,HST 100,History of Kazakhstan,6,D,HST 100,,,,,,,,,,,,,,,,,,
7.0,MATH 162,Calculus II,8,C,MATH 162,,,,,,,,,,,,,,,,,,
8.0,PHYS 162,Physics for Scientists and Engineers II with Lab,8,D,PHYS 162,,,,,,,,,,,,,,,,,,
9.0,ENG 102,Engineering Materials I,6,D,ENG 102,,,,,,,,,,,,,,,,,,
10.0,KAZ XXX,Kazakh Language,6,C-,KAZ XXX,KFL 102,KFL 201,KFL 202,,,,,,,,,,,,,,,KAZ 150
11.0,KAZ XXX,Kazakh Language,6,D,KAZ XXX,KFL 102,KFL 201,KFL 202,,,,,,,,,,,,,,,KAZ 150
12.0,Ethics,"PHIL 210, 211 or 212",6,D,PHIL 210,PHIL 211,PHIL 212,,,,,,,,,,,,,,,,
13.0,ENG 200,Differential Equations and Linear Algebra,6,D,ENG 200,,,,,,,,,,,,,,,,,,
14.0,MAE 202,Environmental Science,6,D,MAE 202,,,,,,,,,,,,,,,,,,
15.0,CEE 200,Structural Mechanics I,6,D,CEE 200,,,,,,,,,,,,,,,,,,
16.0,MAE 201,Computer Aided Design,6,D,MAE 201,,,,,,,,,,,,,,,,,,
17.0,WCS 210,Technical and Professional Writing,6,D,WCS 210,,,,,,,,,,,,,,,,,,
18.0,ENG 201,Applied Probability and Statistics,6,D,ENG 201,,,,,,,,,,,,,,,,,,
19.0,ENG 202,Numerical Methods in Engineering,6,D,ENG 202,,,,,,,,,,,,,,,,,,
20.0,MAE 205,Materials and Manufacturing I,6,D,MAE 205,,,,,,,,,,,,,,,,,,
21.0,MAE 206,Engineering Dynamics I,6,D,MAE 206,,,,,,,,,,,,,,,,,,
22.0,MAE 300,Fluid Mechanics I,6,D,MAE 300,,,,,,,,,,,,,,,,,,
23.0,MAE 301,Engineering Thermodynamics,6,D,MAE 301,,,,,,,,,,,,,,,,,,
24.0,MAE 307,Engineering Dynamics II,6,D,MAE 307,,,,,,,,,,,,,,,,,,
25.0,MAE 303,Control Systems,6,D,MAE 303,,,,,,,,,,,,,,,,,,
26.0,BUS 101,Core Course in Business,6,D,BUS 101,,,,,,,,,,,,,,,,,,
27.0,MAE 305 or 454,Fluid Mechanics II or Aerodynamics,6,D,MAE 305,MAE 454,,,,,,,,,,,,,,,,,
28.0,MAE 302,Machine Elements Design,6,D,MAE 302,,,,,,,,,,,,,,,,,,
29.0,MAE 306,Computer Aided Engineering,6,D,MAE 306,,,,,,,,,,,,,,,,,,
30.0,ECON 120,Managerial Economics,6,D,ECON 120,,,,,,,,,,,,,,,,,,
31.0,ENG 400,Capstone Project,6,C-,ENG 400,,,,,,,,,,,,,,,,,,
32.0,ENG 400,Capstone Project,6,C-,ENG 400,,,,,,,,,,,,,,,,,,
33.0,MAE 400,Heat Transfer,6,D,MAE 400,,,,,,,,,,,,,,,,,,
34.0,MAE 401,Mechanical Systems Design,6,D,MAE 401,,,,,,,,,,,,,,,,,,
35.0,MAE Elective 1,,6,D,MAE 350,MAE 456,MAE 450,MAE 463,MAE 452,MAE 460,ENG 300,MAE 353,MAE 467,MAE 453,MAE 457,CHME 454,MAE 462,MAE 469,MAE 466,MAE 351,MAE 451,,
36.0,MAE Elective 2,,6,D,MAE 350,MAE 456,MAE 450,MAE 463,MAE 452,MAE 460,ENG 300,MAE 353,MAE 467,MAE 453,MAE 457,CHME 454,MAE 462,MAE 469,MAE 466,MAE 351,MAE 451,,
37.0,MAE Elective 3,,6,D,MAE 350,MAE 456,MAE 450,MAE 463,MAE 452,MAE 460,ENG 300,MAE 353,MAE 467,MAE 453,MAE 457,CHME 454,MAE 462,MAE 469,MAE 466,MAE 351,MAE 451,,
38.0,MAE Elective 4,,6,D,MAE 350,MAE 456,MAE 450,MAE 463,MAE 452,MAE 460,ENG 300,MAE 353,MAE 467,MAE 453,MAE 457,CHME 454,MAE 462,MAE 469,MAE 466,MAE 351,MAE 451,,
39.0,MAE Elective 5,,6,D,MAE 350,MAE 456,MAE 450,MAE 463,MAE 452,MAE 460,ENG 300,MAE 353,MAE 467,MAE 453,MAE 457,CHME 454,MAE 462,MAE 469,MAE 466,MAE 351,MAE 451,,
40.0,MAE Elective 6,,6,D,MAE 350,MAE 456,MAE 450,MAE 463,MAE 452,MAE 460,ENG 300,MAE 353,MAE 467,MAE 453,MAE 457,CHME 454,MAE 462,MAE 469,MAE 466,MAE 351,MAE 451,,
,,,248,,,,,,,,,,,,,,,,,,,,
