"course_id","course_code","course_name","credits_need","grade","Option 1","Option 2","Option 3","Option 4","Option 5","Option 6","Option 7","Option 8","Must have Option 1","Must have Option 2","Must have Option 3","Must have Option 4","Except 1"
"1","Two Elementary ANT choice","ANT 110 or 140 or 160 or 175","12","C-","ANT 110","ANT 140","ANT 160","ANT 175","","","","","","","","",""
"2","Theory course","ANT 301 or 306 or 385","6","C-","ANT 301","ANT 306","ANT 385/WLL 385","","","","","","","","","",""
"3","Intermediate/Advanced Elective","Any ANT 2XX or 3XX ","6","C-","ANT 2XX","ANT3XX","ANT 4XX","","","","","","","","","",""
"5","Antropology elective","Any ANT course, only one course allowed at 1XX","12","C-","ANT XXX","","","","","","","","ANT 2XX","ANT3XX","ANT 4XX","",""
"4","","","","","","","","","","","","","","","","",""
"6","","","","","","","","","","","","","","","","",""
"7","","","","","","","","","","","","","","","","",""
"8","","","","","","","","","","","","","","","","",""
"9","","","","","","","","","","","","","","","","",""
"10","","","","","","","","","","","","","","","","",""
"11","","","","","","","","","","","","","","","","",""
"12","","","","","","","","","","","","","","","","",""
"13","","","","","","","","","","","","","","","","",""
"14","","","","","","","","","","","","","","","","",""
"15","","","","","","","","","","","","","","","","",""
"16","","","","","","","","","","","","","","","","",""
"19","","","","","","","","","","","","","","","","",""
"20","","","","","","","","","","","","","","","","",""
"17","","","","","","","","","","","","","","","","",""
"18","","","","","","","","","","","","","","","","",""
"21","","","","","","","","","","","","","","","","",""
