"course_id","course_code","course_name","credits_need","grade","Option 1","Option 2","Option 3","Option 4","Option 5","Option 6","Option 7","Option 8","Must have Option 1","Must have Option 2","Must have Option 3","Must have Option 4","Except 1","Except 2"
"1","BIOL 110","Modern Biology I","6","C-","BIOL 110","","","","","","","","","","","","",""
"3","BIOL 110L","Modern Biology I Lab","2","C-","BIOL 110L","","","","","","","","","","","","",""
"5","BIOL 120","Modern Biology II","6","C-","BIOL 120","","","","","","","","","","","","",""
"4","BIOL 120L","Modern Biology II Lab","2","C-","BIOL 120L","","","","","","","","","","","","",""
"6","BIOL 230","Human Anatomy and Physiology I","6","C-","BIOL 230","","","","","","","","","","","","",""
"7","BIOL 331","Biochemistry I","6","C-","BIOL 331","","","","","","","","","","","","",""
"8","BIOL 331L","Molecular Cell Biology","2","C-","BIOL 331L","","","","","","","","","","","","",""
"9","BIOL 305/BIOL 301","Introduction to Microbiology","6","C-","BIOL 305","BIOL 301","","","","","","","","","","","",""
"10","Electives","Biology selected electives","12","C-","BIOLMINOR","","","","","","","","","","","","",""
"11","","","","","","","","","","","","","","","","","",""
"12","","","","","","","","","","","","","","","","","",""
"13","","","","","","","","","","","","","","","","","",""
"14","","","","","","","","","","","","","","","","","",""
"15","","","","","","","","","","","","","","","","","",""
"16","","","","","","","","","","","","","","","","","",""
"19","","","","","","","","","","","","","","","","","",""
"20","","","","","","","","","","","","","","","","","",""
"17","","","","","","","","","","","","","","","","","",""
"18","","","","","","","","","","","","","","","","","",""
"21","","","","","","","","","","","","","","","","","",""
