"course_id","course_code","course_name","credits_need","grade","Option 1","Option 2","Option 3","Option 4","Option 5","Option 6","Option 7","Option 8","Must have Option 1","Must have Option 2","Must have Option 3","Must have Option 4","Except 1","Except 2"
"1","CHEM 101","General Chemistry I","6","C-","CHEM 101","","","","","","","","","","","","",""
"3","CHEM 102","General Chemistry II","6","C-","CHEM 102","","","","","","","","","","","","",""
"5","CHEM 101L","General Chemistry I Laboratory","2","C-","CHEM 101L","","","","","","","","","","","","",""
"4","CHEM 211","Organic Chemistry I","6","C-","CHEM 211","","","","","","","","","","","","",""
"6","CHEM 211L","Organic Chemistry I Laboratory","2","C-","CHEM 211L","","","","","","","","","","","","",""
"7","CHEM 212","Organic Chemistry II","6","C-","CHEM 212","","","","","","","","","","","","",""
"8","CHEM 212L","Organic Chemistry II Laboratory","2","C-","CHEM 212L","","","","","","","","","","","","",""
"9","CHEM 220","Quantitative Chemical Analysis","6","C-","CHEM 220","","","","","","","","","","","","",""
"11","CHEM 250","Descriptive Inorganic Chemistry","6","C-","CHEM 250","","","","","","","","","","","","",""
"14","CHEM 331/CHEM 341","Physical Chemistry I or Biochemistry","6","C-","CHEM 331","CHEM 341","","","","","","","","","","","",""
"15","","","","","","","","","","","","","","","","","",""
"16","","","","","","","","","","","","","","","","","",""
"19","","","","","","","","","","","","","","","","","",""
"20","","","","","","","","","","","","","","","","","",""
"17","","","","","","","","","","","","","","","","","",""
"18","","","","","","","","","","","","","","","","","",""
"21","","","","","","","","","","","","","","","","","",""
"","","","SUM(D2:D11)","","","","","","","","","","","","","","",""
