"course_id","course_code","course_name","credits_need","grade","Option 1","Option 2","Option 3","Option 4","Option 5","Option 6","Option 7","Option 8","Must have Option 1","Must have Option 2","Must have Option 3","Must have Option 4","Except 1"
"1","Elementary Course","ECON 101 and 102","12","В-","ECON 101, ECON 102","","","","","","","","","","","",""
"2","Intermediate Courses","ECON 201, 202 and 301","18","C-","ECON 201, ECON 202, ECON 301","","","","","","","","","","","",""
"3","Advanced Economics Electives","Any two ECON 3XX or 4XX","12","C-","ECON 3XX","ECON 4XX","","","","","","","","","","",""
"5","","","","","","","","","","","","","","","","",""
"4","","","","","","","","","","","","","","","","",""
"6","","","","","","","","","","","","","","","","",""
"7","","","","","","","","","","","","","","","","",""
"8","","","","","","","","","","","","","","","","",""
"9","","","","","","","","","","","","","","","","",""
"10","","","","","","","","","","","","","","","","",""
"11","","","","","","","","","","","","","","","","",""
"12","","","","","","","","","","","","","","","","",""
"13","","","","","","","","","","","","","","","","",""
"14","","","","","","","","","","","","","","","","",""
"15","","","","","","","","","","","","","","","","",""
"16","","","","","","","","","","","","","","","","",""
"19","","","","","","","","","","","","","","","","",""
"20","","","","","","","","","","","","","","","","",""
"17","","","","","","","","","","","","","","","","",""
"18","","","","","","","","","","","","","","","","",""
"21","","","","","","","","","","","","","","","","",""
