"course_id","course_code","course_name","credits_need","grade","Option 1","Option 2","Option 3","Option 4","Option 5","Option 6","Option 7","Option 8","Must have Option 1","Must have Option 2","Must have Option 3","Must have Option 4","Except 1"
"1","Elementary Course","Any two HST 1XX courses except HST 100","12","C-","HST 1XX","","","","","","","","","","","","HST 100"
"2","Intermediate or Advanced Courses","Any 5 HST 2XX+ courses","30","C-","HST 2XX","HST 3XX","HST 4XX","","","","","","","","","",""
"3","","","","","","","","","","","","","","","","",""
"5","","","","","","","","","","","","","","","","",""
"4","","","","","","","","","","","","","","","","",""
"6","","","","","","","","","","","","","","","","",""
"7","","","","","","","","","","","","","","","","",""
"8","","","","","","","","","","","","","","","","",""
"9","","","","","","","","","","","","","","","","",""
"10","","","","","","","","","","","","","","","","",""
"11","","","","","","","","","","","","","","","","",""
"12","","","","","","","","","","","","","","","","",""
"13","","","","","","","","","","","","","","","","",""
"14","","","","","","","","","","","","","","","","",""
"15","","","","","","","","","","","","","","","","",""
"16","","","","","","","","","","","","","","","","",""
"19","","","","","","","","","","","","","","","","",""
"20","","","","","","","","","","","","","","","","",""
"17","","","","","","","","","","","","","","","","",""
"18","","","","","","","","","","","","","","","","",""
"21","","","","","","","","","","","","","","","","",""
