"course_id","course_code","course_name","credits_need","grade","Option 1","Option 2","Option 3","Option 4","Option 5","Option 6","Option 7","Option 8","Must have Option 1","Must have Option 2","Must have Option 3","Must have Option 4","Except 1","Except 2"
"1","MATH 161","Calculus I","8","C","MATH 161","","","","","","","","","","","","",""
"3","MATH 162","Calculus II","8","C","MATH 162","","","","","","","","","","","","",""
"4","MATH 263","Calculus III","8","C","MATH 263","","","","","","","","","","","","",""
"6","MATH 273","Linear Algebra with Applications","8","C","MATH 273","","","","","","","","","","","","",""
"7","Required elective courses","","12","C","MATH 251","MATH 274","MATH 321","MATH 322","MATH 361","MATH 351","","","","","","","",""
"8","Required advanced elective courses","Any two MATH 4XX","12","C","MATH 4XX","","","","","","","","","","","","",""
"9","","","","","","","","","","","","","","","","","",""
"11","","","","","","","","","","","","","","","","","",""
"14","","","","","","","","","","","","","","","","","",""
"15","","","","","","","","","","","","","","","","","",""
"16","","","","","","","","","","","","","","","","","",""
"19","","","","","","","","","","","","","","","","","",""
"20","","","","","","","","","","","","","","","","","",""
"17","","","","","","","","","","","","","","","","","",""
"18","","","","","","","","","","","","","","","","","",""
"21","","","","","","","","","","","","","","","","","",""
"","","","SUM(D2:D10)","","","","","","","","","","","","","","",""
