"course_id","course_code","course_name","credits_need","grade","Option 1","Option 2","Option 3","Option 4","Option 5","Option 6","Option 7","Option 8","Must have Option 1","Must have Option 2","Must have Option 3","Must have Option 4","Except 1","Except 2"
"1","PHYS 161","Natural Science Elective","8","C-","PHYS 161","","","","","","","","","","","","",""
"3","PHYS 162","Physics II for Scientists and Engineers with Laboratory","8","C-","PHYS 162","","","","","","","","","","","","",""
"4","PHYS 221","Classical Mechanics I","6","C-","PHYS 221","","","","","","","","","","","","",""
"7","PHYS 261","Modern Physics with Laboratory","8","C-","PHYS 261","","","","","","","","","","","","",""
"9","PHYS 280","Thermodynamics and Statical Physics","6","C-","PHYS 280","","","","","","","","","","","","",""
"11","Electives","Any two PHYS courses","12","C-","PHYS XXX","","","","","","","","","","","","",""
"14","","","","","","","","","","","","","","","","","",""
"15","","","","","","","","","","","","","","","","","",""
"16","","","","","","","","","","","","","","","","","",""
"19","","","","","","","","","","","","","","","","","",""
"20","","","","","","","","","","","","","","","","","",""
"17","","","","","","","","","","","","","","","","","",""
"18","","","","","","","","","","","","","","","","","",""
"21","","","","","","","","","","","","","","","","","",""
"","","","SUM(D2:D8)","","","","","","","","","","","","","","",""
