"course_id","course_code","course_name","credits_need","grade","Option 1","Option 2","Option 3","Option 4","Option 5","Option 6","Option 7","Option 8","Must have Option 1","Must have Option 2","Must have Option 3","Must have Option 4","Except 1","Except 2"
"1","Elementary Course","Any two from PLS 120, PLS 140 or PLS 150","12","C-","PLS 120","PLS 140","PLS 150","","","","","","","","","","",""
"2","Methods","PLS 210 or PLS 211","6","C-","PLS 210","PLS 211","","","","","","","","","","","",""
"3","Intermediate or Advanced Courses","Any 3 PLS 2XX+ courses, excepts methods and elementry courses","18","C-","PLS 2XX","PLS 3XX","PLS 4XX","","","","","","","","","","PLS 210","PLS 211"
"5","","","","","","","","","","","","","","","","","",""
"4","","","","","","","","","","","","","","","","","",""
"6","","","","","","","","","","","","","","","","","",""
"7","","","","","","","","","","","","","","","","","",""
"8","","","","","","","","","","","","","","","","","",""
"9","","","","","","","","","","","","","","","","","",""
"10","","","","","","","","","","","","","","","","","",""
"11","","","","","","","","","","","","","","","","","",""
"12","","","","","","","","","","","","","","","","","",""
"13","","","","","","","","","","","","","","","","","",""
"14","","","","","","","","","","","","","","","","","",""
"15","","","","","","","","","","","","","","","","","",""
"16","","","","","","","","","","","","","","","","","",""
"19","","","","","","","","","","","","","","","","","",""
"20","","","","","","","","","","","","","","","","","",""
"17","","","","","","","","","","","","","","","","","",""
"18","","","","","","","","","","","","","","","","","",""
"21","","","","","","","","","","","","","","","","","",""
