"course_id","course_code","course_name","credits_need","grade","Option 1","Option 2","Option 3","Option 4","Option 5","Option 6","Option 7","Option 8","Must have Option 1","Must have Option 2","Must have Option 3","Must have Option 4","Except 1","Except 2"
"1","MATH 275","Math for AI","6","B","MATH 275","","","","","","","","","","","","",""
"3","Elementary course","MATH 321 or PLS 211 or SOC 203 or ECON 211","6","B","ECON 211","PLS 211","SOC 203","MATH 321","","","","","","","","","",""
"5","Programming course","Any CSCI or MATH 449 or ECON 339","6","C-","CSCI XXX","MATH 449","ECON 339","","","","","","","","","","",""
"4","2 courses from 2 disciples different from your major","NOTE!: Courses here depends on your major, check Handbook 2025","12","C-","DSECON, DSMATH","DSECON, DSPLS","DSECON, DSSOC","DSMATH, DSPLS","DSMATH, DSSOC","DSPLS, DSSOC","","","","","","","",""
"6","Electives","","12","C-","DSECON","DSMATH","DSPLS","DSSOC","","","","","","","","","",""
"7","","","","","","","","","","","","","","","","","",""
"8","","","","","","","","","","","","","","","","","",""
"9","","","","","","","","","","","","","","","","","",""
"10","","","","","","","","","","","","","","","","","",""
"11","","","","","","","","","","","","","","","","","",""
"12","","","","","","","","","","","","","","","","","",""
"13","","","","","","","","","","","","","","","","","",""
"14","","","","","","","","","","","","","","","","","",""
"15","","","","","","","","","","","","","","","","","",""
"16","","","","","","","","","","","","","","","","","",""
"19","","","","","","","","","","","","","","","","","",""
"20","","","","","","","","","","","","","","","","","",""
"17","","","","","","","","","","","","","","","","","",""
"18","","","","","","","","","","","","","","","","","",""
"21","","","","","","","","","","","","","","","","","",""
