HUMELECTIVE,SOCELECTIVE,HUMSOCELECTIVE,DSECON,DSPLS,DSMATH,DSSOC,BIOLMINOR
HST XXX,ANT XXX,ANT 385/WLL 385,ECON 301,PLS 102,MATH 322,SOC 301,BIOL 320
PHIL XXX,ECON XXX,ANT 275,ECON 434,PLS 415,MATH 440,,BIOL 301L
REL XXX,PLS XXX,ANT 306,ECON 433,PLS 416,MATH 446,,BIOL 340
WLL XXX,SOC XXX,PLS 102,ECON 318,PLS 417,,,BIOL 333
WCS 150,,PLS 325,ECON 413,PLS 434,,,BIOL 341
WCS 160,,PLS 326,,,,,CHEM 341
WCS 200,,PLS 329,,,,,BIOL 452
WCS 230,,PLS 421,,,,,BIOL 363
WCS 240,,PLS 422,,,,,BIOL 341L
WCS 260/WLL 235,,PLS 426,,,,,CHEM 341L
WCS 300,,SOC 325,,,,,BIOL 380
WCS 301,,WCS 101,,,,,BIOL 385
WCS 302,,WCS 135,,,,,BIOL 418
WCS 360/WLL 360,,WCS 201,,,,,BIOL 430
WCS 361,,WCS 203,,,,,BIOL 440
WCS 362,,WCS 204,,,,,BIOL 445
WCS 363,,WCS 205,,,,,BIOL 450
WCS 393,,WCS 206,,,,,BIOL 468
WCS 394,,WCS 210,,,,,BIOL 470
WCS 462,,WCS 220,,,,,BIOL 471
WCS 465,,WCS 250,,,,,BIOL 471L
TUR 100,,WCS 270,,,,,BIOL 480
TUR 230,,WCS 304,,,,,BIOL 488
TUR 231,,WCS 305,,,,,
TUR 235,,WCS 390,,,,,
TUR 271/HST 271,,WCS 391,,,,,
TUR 272/HST 272,,WCS 392,,,,,
TUR 280/LING 280,,TUR 455,,,,,
TUR 375,,LING XXX,,,,,
TUR 411,,,,,,,
TUR 451,,,,,,,
TUR 454,,,,,,,
TUR 480/LING 480,,,,,,,
WLL 235,,,,,,,
WLL 360,,,,,,,
