course_code,course_title,section,grades_count,avg_gpa,std_dev,median_gpa,pct_A,pct_B,pct_C,pct_D,pct_F,pct_P,pct_I,pct_AU,pct_W_AW,letters_count,term,faculty
PETE 201,Fluid Mechanics and,1L,41,2.65,0.47,2.67,4.9,51.2,43.9,0.0,0.0,0.0,0.0,0.0,0.0,41,FA2024,Sotirios Longinos
PETE 301,Numerical Methods for,1L,16,2.83,0.58,3.00,6.2,62.5,31.2,0.0,0.0,0.0,0.0,0.0,0.0,16,FA2024,Ainash Shabdirova
PETE 302,Reservoir Engineering I,1L,18,2.69,0.77,2.83,5.6,66.7,22.2,0.0,5.6,0.0,0.0,0.0,0.0,18,FA2024,"Peyman Pourafshary, Azza Hashim Abbas Babikir"
PETE 303,Well Logging and,1L,15,2.87,0.45,3.00,6.7,86.7,6.7,0.0,0.0,0.0,0.0,0.0,0.0,15,FA2024,Ali  Shafiei
PETE 304,Well Completion and,1L,14,3.12,0.61,3.00,28.6,64.3,7.1,0.0,0.0,0.0,0.0,0.0,0.0,14,FA2024,Irawan Sonny
PETE 405,Enhanced Oil Recovery,1L,20,2.85,0.61,3.00,10.0,70.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20,FA2024,Peyman Pourafshary
PETE 410,Introduction to Data Science,1L,19,2.53,0.69,2.67,5.3,52.6,42.1,0.0,0.0,0.0,0.0,0.0,0.0,19,FA2024,Ainash Shabdirova
MINE 301,Mine Surveying and,1L,9,3.74,0.28,3.67,77.8,22.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,FA2024,Emil Bayramov
MINE 302,Geomechanics,1L,9,3.37,0.42,3.33,44.4,55.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,FA2024,Fidelis Suorineni
MINE 303,Mine Ventilation,1L,6,3.11,0.17,3.00,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,FA2024,Sergei Sabanov
MINE 308,Mine Planning,1L,6,2.78,0.83,2.67,16.7,33.3,50.0,0.0,0.0,0.0,0.0,0.0,0.0,6,FA2024,Nasser Madaniesfahani
MINE 401,Mining Geotechnical,1L,6,2.39,0.65,2.17,0.0,33.3,66.7,0.0,0.0,0.0,0.0,0.0,0.0,6,FA2024,Ali Mortazavi
MINE 402,Coal Mining,1L,7,2.52,0.33,2.67,0.0,57.1,42.9,0.0,0.0,0.0,0.0,0.0,0.0,7,FA2024,Fidelis Suorineni
GEOL 201,Mineralogy,1L,23,2.88,0.57,3.00,16.7,58.3,20.8,0.0,0.0,0.0,4.2,0.0,0.0,24,FA2024,Kamal Regmi
GEOL 202,Geologic Maps and Cross-,1L,16,2.63,0.65,2.67,12.5,43.8,43.8,0.0,0.0,0.0,0.0,0.0,0.0,16,FA2024,Jovid Aminov
GEOL 203,Geomorphology,1L,13,3.44,0.39,3.67,69.2,30.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,FA2024,Medet Junussov
GEOL 301,Sedimentary petrology,1L,13,3.36,0.48,3.33,46.2,53.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,FA2024,Jovid Aminov
